OBJECTID,TERRIER_NO,WARDS
128194,0801,00FFNL
128196,2806,00FFNL
128199,0480B,00FFNY
128202,2988,00FFNU
128207,0223,00FFNL
128208,7885,00FFPA
128226,1547,00FFNU
128228,7957,00FFPA
128230,1039A,00FFPD
128238,3244,00FFNP
128242,3082A,00FFNS
128246,2582,00FFNG
128285,0392,00FFNU
128299,0434,00FFNS
128317,1898,00FFNP
128360,2858,00FFNY
128363,8009,00FFNQ
128366,1923,00FFNY
128367,0146,00FFNT
128373,7987,00FFPE
128377,0083,00FFNP
128383,2168,00FFNP
128387,3217,00FFNY
128388,3217A,00FFNY
128400,9611,00FFPA
128403,2598,00FFPD
128406,2687,00FFNU
128407,2340,00FFNS
128410,2093,00FFNY
128413,8025,00FFPC
128421,2169,00FFNM
128423,0455,00FFPD
128427,0583,00FFPD
128431,9608,00FFPD
128432,2615,00FFNP
128435,,
128436,0631,00FFNY
128439,0071,00FFNP
128442,8091,00FFxx1
128443,8091,00FFxx1
128446,8079,00FFxx2
128447,0347,00FFNP
128450,9548,00FFxx1
128455,2843,00FFNP
128458,7925A,00FFNX
128463,2816,00FFNJ
128469,9656,00FFNS
128470,1811,00FFNS
128471,2649,00FFPD
128472,0663,00FFNW
128473,9625,00FFNP
128477,2920,00FFNL
128479,2722,00FFNS
128482,9298,00FFNY
128485,7217,00FFNW
128489,0143,00FFNP
128495,3084,00FFNW
128496,3198A,00FFxx4
128497,9520,00FFxx4
128501,,00FFxx4
128502,9615,00FFxx4
128503,8097,00FFxx3
128510,7585,00FFxx4
128511,7923,00FFPA
128513,8311,00FFxx4
128516,2922,00FFNY
128517,0204,00FFNS
128521,0373,00FFNY
128524,9506,00FFNP
128526,3208,00FFNY
128528,3432,00FFNL
128532,7980,00FFNQ
128538,0391,00FFPD
128540,9513,Across Ward Boundaries
128547,2711,00FFNM
128548,8106,00FFPA
128550,8107,00FFPA
128553,2170,00FFNW
128595,0252,00FFNP
128599,2403,00FFNJ
128600,1491,00FFNS
128604,2804,00FFNY
128605,8047A,00FFNS
128607,3064,00FFNS
128618,1319,00FFNS
128624,2621,00FFPD
128635,9542,00FFPE
128653,2811,00FFNL
128663,9549,00FFPA
128664,7056,00FFNL
128665,9556,00FFNX
128679,0159,00FFNY
128682,2728,00FFNL
128684,1936C,00FFNM
128685,1901,00FFNS
128696,0140,00FFNL
128699,3058A,00FFNP
128727,3273,00FFNP
128734,0613,00FFNY
128735,8105,00FFPA
128740,0018,00FFNP
128743,0360,00FFNW
128745,0598,00FFPD
128746,3082,00FFNS
128747,2232,00FFNW
128748,3083D,00FFNS
128759,3120,00FFNY
128760,9539,00FFNS
128763,7988,00FFPA
128778,1448,00FFPD
128780,9583,00FFNP
128789,0606,00FFNL
128805,0194,00FFNS
128809,2843,00FFNP
128815,2982,00FFNU
128822,8033,00FFNQ
128826,1183,00FFNU
128837,1889,00FFNS
128841,0587,00FFNY
128855,2920B,00FFNY
128871,7056,00FFNL
128877,7687,00FFNP
128880,8047,00FFNS
128882,0761,00FFNM
128883,2166,00FFNY
128887,0427A,00FFNM
128889,0427,00FFNM
128899,5004,00FFNP
128900,0481A,00FFNL
128902,0070,00FFNT
128909,0256B,00FFNY
128927,1849,00FFNP
128928,2161,00FFNP
128929,3335,00FFNL
128936,1543,00FFNU
128937,2833,00FFNY
128941,1947,00FFNY
128943,2402,00FFNS
128945,2507,00FFNM
128948,8055,00FFxx1
128949,8094,00FFxx1
128950,8055,00FFxx1
128951,8055,00FFxx1
128954,2953,00FFNP
128958,9612,
128968,3108B,00FFNJ
128975,7941,00FFxx2
128979,2635,00FFNS
128982,3003,00FFNM
128984,2320,00FFNJ
128985,9286,00FFxx4
128989,2815,00FFPD
128991,0529,00FFNG
128992,2649A,00FFPD
128996,2293,00FFNS
128997,0143,00FFNP
129000,2498,00FFPD
129001,2962,00FFNP
129004,3055,00FFNG
129005,3055A,00FFNG
129008,2336,00FFNU
129011,9298,00FFNY
129015,2750,00FFNP
129021,9641,00FFNU
129023,0480,00FFNL
129024,0479,00FFxx4
129025,1922,00FFxx4
129027,2328,00FFNS
129030,9519,00FFxx4
129031,7590,00FFxx4
129032,7932,00FFxx4
129033,,00FFxx4
129034,9619,00FFxx4
129035,9561,00FFxx3
129036,8096,00FFxx3
129041,7976,00FFxx3
129042,9520,00FFxx4
129045,9519,00FFxx4
129055,1500B,00FFNP
129057,3383,00FFNP
129058,1026,00FFNP
129063,9549,00FFPA
129064,9549,00FFPA
129066,9590,00FFNU
129069,2171,00FFNY
