LAU212CD,LAU212NM,FID
UKM2400003,Coldstream and District,398
UKM2400004,Duns and District South,399
UKM2400005,Duns and District North,400
UKM3103005,Bearsden,401
UKM3103006,Castlehill/Thorn,402
UKM3103007,Chapelton,403
UKM3103008,Westerton,404
UKM3103009,Kessington,405
UKM3103010,West Kirkintilloch and Torrance,406
UKM3103011,Hillhead and Broomhill,407
UKM3103012,Rosebank and Waterside,408
UKM3103013,East Harestanes and Twechar,409
UKM3103014,Kirkintilloch Central,410
UKM3103015,Lenzie,411
UKM3103016,South Lenzie,412
UKM3103017,Campsie,413
UKM3103018,Milton,414
UKM3103019,Kenmure and Baldernock,415
UKM3103020,Balmuildy and Park,416
UKM3103021,Cadder/Langbrae,417
UKM3103022,Auchinairn and Crowhill,418
UKM3103023,Woodhill West,419
UKM3103024,Woodhill East,420
UKM3200001,Rhins South,421
UKM3200002,Rhins North,422
UKM3200003,Stranraer North,423
UKM3200004,Stranraer South,424
UKM3200005,Stranraer East,425
UKM3200006,Luce,426
UKM3200007,Whithorn,427
UKM3200008,Wigtown,428
UKM3200009,Cree,429
UKM3200010,Stewartry West,430
UKM3200011,Kirkcudbright - Tarff,431
UKM3200012,Kirkcudbright - Bengairn,432
UKM3200013,Stewartry North,433
UKM3200014,Castle Douglas - Dee,434
UKM3200015,Castle Douglas - Urr,435
UKM3200016,Dalbeattie - Craignair,436
UKM3200017,Dalbeattie - Milton,437
UKM3200018,Criffel,438
UKM3200019,Cairn Valley,439
UKM3200020,Sanquhar and District,440
UKM3200021,Kirkconnel,441
UKM3200022,Mid Nithsdale,442
UKM3200023,Lincluden,443
UKM3200024,Lochside,444
UKM3200025,Palmerston,445
UKM3200026,Maxwelltown,446
UKM3200027,Troqueer,447
UKM3200028,Loreburn,448
UKM3200029,Marchmount,449
UKM3200030,Lochar,450
UKM2800019,Murieston,451
UKM2800020,Polkemmet,452
UKM2800021,Croftmalloch,453
UKM2800022,Almond,454
UKM3400023,Milton,455
UKM2800023,Blackburn,456
UKM2800024,Houstoun,457
UKM2800025,Calderwood,458
UKM3400024,Ashfield,459
UKM2800026,Middleton,460
UKM3400073,Cathcart,461
UKM3400025,Firhill,462
UKM2800027,Strathbrock,463
UKM3400026,Keppochhill,464
UKM3400074,Mount Florida,465
UKM2800028,Fauldhouse,466
UKM3400027,Merchant City,467
UKM3400075,Toryglen,468
UKM2800029,Breich Valley,469
UKM3400028,Royston,470
UKM3400076,King's Park,471
UKM2800030,Limefield,472
UKM3400029,Cowlairs,473
UKM3400077,Castlemilk,474
UKM2800031,East Calder,475
UKM3400030,Springburn,476
UKM3400078,Carmunnock,477
UKM2800032,Linhouse,478
UKM3400031,Wallacewell,479
UKM3400079,Glenwood,480
UKM3101001,Helensburgh East,481
UKM3400032,Milnbank,482
UKM3501001,Liboside,483
UKM3101002,East Central Helensburgh,484
UKM3400033,Dennistoun,485
UKM3501002,Barrhead North,486
UKM3101003,Helensburgh Central,487
UKM3400034,Calton,488
UKM3501003,North Neilston and West Arthurlie,489
UKM3101004,Helensburgh North,490
UKM3200031,Heathhall,491
UKM3400035,Bridgeton/Dalmarnock,492
UKM3501004,Barrhead Central,493
UKM3101005,Helensburgh West,494
UKM3200032,Nithsdale East,495
UKM3400036,Parkhead,496
UKM3400037,Carntyne,497
UKM3400038,Robroyston,498
UKM3400039,Gartcraig,499
UKM3400040,Queenslie,500
UKM3400041,Greenfield,501
UKM3400042,Barlanark,502
UKM3400043,Shettleston,503
UKM3400044,Tollcross Park,504
UKM3400045,Braidfauld,505
UKM3400046,Mount Vernon,506
UKM3400047,Baillieston,507
UKM3400048,Garrowhill,508
UKM3400049,Garthamlock,509
UKM3400050,Easterhouse,510
UKM3400051,Drumoyne,511
UKM3400052,Govan,512
UKM3400053,Ibrox,513
UKM3400054,Kingston,514
UKM3400055,Mosspark,515
UKM3400056,North Cardonald,516
UKM3400057,Penilee,517
UKM3400058,Cardonald,518
UKM3400059,Pollok,519
UKM3400060,Crookston,520
UKM3400061,Nitshill,521
UKM3400062,Darnley,522
UKM3400063,Carnwadric,523
UKM3400064,Maxwell Park,524
UKM3400065,Pollokshields East,525
UKM3400066,Hutchesontown,526
UKM3400067,Govanhill,527
UKM3400068,Strathbungo,528
UKM3400069,Battlefield,529
UKM3400070,Langside,530
UKM3400071,Pollokshaws,531
UKM3400072,Newlands,532
UKM3302002,Irvine Townhead,533
UKM3200033,Georgetown,534
UKM3101006,West Helensburgh and Rhu,535
UKM3200034,Lochvale,536
UKM3302003,Irvine Vineburgh and Woodlands South,537
UKM3101007,Garelochhead and Cove,538
UKM3501005,Barrhead East,539
UKM3200035,Caerlaverock,540
UKM3302004,Irvine North,541
UKM3101008,""Arrochar, Luss, Arden and Ardenconnel"",542
UKM3501006,Auchenback,543
UKM3200036,Hoddom and Kinmount,544
UKM3302005,Eglinton and Lawthorn,545
UKM3101009,""Roseneath, Clynder and Kilcreggan"",546
UKM3501007,Greenfarm,547
UKM3200037,Annan West,548
UKM3302006,Dreghorn,549
UKM3101010,Cardross,550
UKM3501008,Thornliebank,551
UKM3200038,Annan Central,552
UKM3302007,Irvine Landward,553
UKM3102001,Whitecrook,554
UKM3501009,Giffnock North,555
UKM3200039,Annan East,556
UKM3302008,Bourtreehill,557
UKM3102002,Dalmuir/Central,558
UKM3501010,Merrylea Park,559
UKM3200040,Chapelcross,560
UKM3302009,Woodlands North and Girdle Toll,561
UKM3102003,Mountblow,562
UKM3501011,Netherlee,563
UKM3200041,Solway Border,564
UKM3302010,Kilwinning East,565
UKM3102004,Parkhall,566
UKM3501012,Crookfur,567
UKM3200042,Canonbie and Kirtle,568
UKM3302011,Kilwinning South,569
UKM3102005,Linnvale/Drumry,570
UKM3501013,Giffnock South,571
UKM3200043,Langholm and Upper Eskdale,572
UKM3302012,Kilwinning West,573
UKM3102006,Kilbowie,574
UKM3501014,Stamperland,575
UKM3200044,Dryfe and Lockerbie East,576
UKM3302013,Stevenston North,577
UKM3102007,Kilbowie West,578
UKM3501015,Broom,579
UKM3200045,Lockerbie and Upper Annandale,580
UKM3302014,Stevenston South,581
UKM3102008,Faifley,582
UKM3501016,Kirkhill,583
UKM3200046,Lochmaben,584
UKM3302015,Beith,585
UKM3102009,Hardgate,586
UKM3501017,Clarkston,587
UKM3200047,Moffat,588
UKM3302016,Dalry,589
UKM3102010,Duntocher,590
UKM3501018,Busby,591
UKM3301001,Stewarton East and Dunlop,592
UKM3302017,Garnock East,593
UKM3102011,Bowling/Milton/Old Kilpatrick,594
UKM3501019,Mearns,595
UKM3301002,Stewarton Central,596
UKM3302018,Kilbirnie South,597
UKM3102012,Dumbarton East,598
UKM3501020,Eaglesham,599
UKM3502001,Shortroods,600
UKM3502002,St James,601
UKM3502003,Ferguslie,602
UKM3502004,Linwood East,603
UKM3502005,Linwood West,604
UKM3502006,Brediland,605
UKM3502007,Foxbar,606
UKM3502008,Stanely,607
UKM3502009,Glenburn South,608
UKM3502010,Glenburn North,609
UKM3502011,Paisley Central,610
UKM3502012,Lounsdale and Millarston,611
UKM3502013,Castlehead,612
UKM3502014,Saucel and Hunterhill,613
UKM3502015,Lochfield,614
UKM3502016,Seedhill,615
UKM3502017,Blackhall and Hawkhead,616
UKM3502018,Gallowhill and Whitehaugh,617
UKM3502019,Sandyford,618
UKM3502020,Ralston,619
UKM3502021,Johnstone Central,620
UKM3502022,Johnstone Cochranemill,621
UKM3502023,Johnstone Castle,622
UKM3600014,Pather and Gowkthrapple,623
UKM3502024,Johnstone West,624
UKM3302019,Kilbirnie North,625
UKM3102013,Barloan/Overtoun,626
UKM3600015,Garrion,627
UKM3302020,Saltcoats East,628
UKM3502025,Elderslie,629
UKM3301003,Kilmaurs and Stewarton South,630
UKM3102014,Dumbarton  North,631
UKM3600016,Newmains,632
UKM3302021,South Beach,633
UKM3502026,Blythswood,634
UKM3301004,""North Kilmarnock, Fenwick and Waterside"",635
UKM3102015,Dumbarton Central,636
UKM3600017,Stane,637
UKM3302022,Saltcoats North,638
UKM3502027,Deanside,639
UKM3301005,""Crosshouse, Gatehead and Knockentiber"",640
UKM3102016,Dumbarton West,641
UKM3600018,Dykehead,642
UKM3302023,Ardrossan South,643
UKM3502028,Townhead,644
UKM3301006,""Altonhill, Hillhead and Longpark"",645
UKM3102017,Renton/Alexandria South,646
UKM3600019,Cleland,647
UKM3302024,Ardrossan North,648
UKM3502029,Arkleston and Newmains,649
UKM3301007,Onthank,650
UKM3102018,Alexandria North/Tullichewan,651
UKM3600020,Benhar,652
UKM3302025,West Kilbride,653
UKM3502030,Moorpark,654
UKM3301008,Kilmarnock Central West,655
UKM3102019,Balloch,656
UKM3600021,Tannochside,657
UKM3302026,Largs South and Fairlie,658
UKM3502031,Lochwinnoch and Howwood,659
UKM3301009,Kilmarnock Central East,660
UKM3102020,Haldane/Kilmaronock/Jamestown,661
UKM3600022,Fallside,662
UKM3302027,Largs West and Cumbrae,663
UKM3502032,Bridge of Weir South and Brookfield,664
UKM3301010,North New Farm Loch and Dean,665
UKM3102021,Bonhill East,666
UKM3600023,Viewpark,667
UKM3302028,Largs East,668
UKM3502033,Kilbarchan,669
UKM3301011,South New Farm Loch,670
UKM3102022,Riverside,671
UKM3600024,Bellshill North,672
UKM3302029,Largs North and Skelmorlie,673
UKM3502034,Bridge of Weir North and Craigends,674
UKM3301012,""Crookedholm, Moscow, Galston West and Hurlford North"",675
UKM3103001,Barloch,676
UKM3600025,Orbiston,677
UKM3400001,Drumry,678
UKM3502035,Houston and Langbank,679
UKM3301013,Newmilns,680
UKM3103002,Clober,681
UKM3600026,Mossend West and Thorndean,682
UKM3400002,Summerhill,683
UKM3502036,Erskine S.E and Inchinnan,684
UKM3301014,Grange/Howard,685
UKM3103003,Keystone,686
UKM3600027,Holytown,687
UKM3400003,Blairdardie,688
UKM3502037,Parkmains,689
UKM3301015,Kilmarnock Central South,690
UKM3103004,Baljaffray/Mosshead,691
UKM3600028,Mossend East and New Stevenston North,692
UKM3400004,Knightswood Park,693
UKM3502038,Erskine Central,694
UKM3301016,Riccarton,695
UKM3400005,Knightswood South,696
UKM3600029,Newarthill,697
UKM3400006,Yoker,698
UKM3301017,Shortlees,699
UKM3502039,Erskine West,700
UKM3600030,Hattonrig,701
UKM3400007,Anniesland,702
UKM3301018,Bellfield,703
UKM3502040,Bishopton,704
UKM3600031,Townhead,705
UKM3400008,Jordanhill,706
UKM3301019,Hurlford,707
UKM3503001,Ward 1,708
UKM3600032,Blairpark,709
UKM3400009,Kelvindale,710
UKM3301020,Galston East,711
UKM3503002,Ward 2,712
UKM3600033,North Central and Glenboig,713
UKM3400010,Scotstoun,714
UKM3301021,Darvel,715
UKM3503003,Ward 3,716
UKM3600034,Coatbridge  Central,717
UKM3400011,Victoria Park,718
UKM3301022,Mauchline,719
UKM3503004,Ward 4,720
UKM3600035,Sikeside and Carnbroe,721
UKM3400012,Hayburn,722
UKM3301023,""Catrine, Sorn and Mauchline East"",723
UKM3503005,Ward 5,724
UKM3600036,Bargeddie and Langloan,725
UKM3400013,Hyndland,726
UKM3301024,""Muirkirk, Lugar, Logan"",727
UKM3503006,Ward 6,728
UKM3600037,Kirkwood,729
UKM3400014,Hillhead,730
UKM3301025,""Drongan, Stair and Rankinston"",731
UKM3503007,Ward 7,732
UKM3600038,Kirkshaws,733
UKM3400015,Partick,734
UKM3301026,""Ochiltree, Skares, Netherthird and Craigens"",735
UKM3503008,Ward 8,736
UKM3600039,Shawhead,737
UKM3400016,Kelvingrove,738
UKM3301027,Auchinleck,739
UKM3503009,Ward 9,740
UKM3600040,Old Monkland,741
UKM3400017,Anderston,742
UKM3301028,Cumnock West,743
UKM3503010,Ward 10,744
UKM3600041,Whinhall,745
UKM3400018,Woodlands,746
UKM3301029,Cumnock East,747
UKM3503011,Ward 11,748
UKM3600042,Academy,749
UKM3400019,North Kelvin,750
UKM3301030,Patna and Dalrymple,751
UKM3503012,Ward 12,752
UKM3600043,Airdrie Central,753
UKM3400020,Wyndford,754
UKM3301031,Dalmellington,755
UKM3503013,Ward 13,756
UKM3600044,Clarkston,757
UKM3400021,Maryhill,758
UKM3301032,New Cumnock,759
UKM3503014,Ward 14,760
UKM3600045,New Monkland West,761
UKM3400022,Summerston,762
UKM3302001,Irvine West,763
UKM3503015,Ward 15,764
UKM3600046,Plains and Caldercruix,765
UKM3503016,Ward 16,766
UKM3600047,North Cairnhill and Coatdyke,767
UKM3503017,Ward 17,768
UKM3600048,South East Cairnhill and Gartlea,769
UKM3503018,Ward 18,770
UKM3600049,Craigneuk and Petersburn,771
UKM3503019,Ward 19,772
UKM3600050,Calderbank,773
UKM3503020,Ward 20,774
UKM3600051,Chapelhall,775
UKM3600001,Ladywell,776
UKM3600052,Salsburgh,777
UKM3600002,Calder Valley,778
UKM3600053,Kildrum and Park,779
UKM3600003,Forgewood,780
UKM3600054,Seafar and The Village,781
UKM3600004,North Motherwell,782
