DAM BREED CODE,DAM BREED,OCT,NOV,DEC,TOTAL
BU,WATER BUFFALO,124,76,59,259
BW,BRITISH WHITE,62,33,44,139
BWB,BELTED WELSH BLACK,4,2,4,10
BWBX,BELTED WELSH BLACK X,,,1,1
BWX,BRITISH WHITE X,25,25,20,70
CAX,CANADIAN ANGUS X,1,,,1
CB,CROSS BREED BEEF,6,6,6,18
CD,CROSS BREED DAIRY,190,85,37,312
CH,CHAROLAIS,900,768,706,"2,374"
CHIX,CHIANINA X,,2,,2
CHX,CHAROLAIS X,"2,199","1,786","1,541","5,526"
DEV,DEVON,207,170,143,520
DEVX,DEVON X,122,115,63,300
DEX,DEXTER,388,312,267,967
DEXX,DEXTER X,20,8,7,35
DG,DUN GALLOWAY,,1,,1
DGX,DUN GALLOWAY X,,1,,1
DR,DANISH RED,108,88,75,271
DRX,DANISH RED X,91,79,66,236
DS,DAIRY SHORTHORN,324,235,179,738
DSHO,DAIRY SHORTHORN,115,94,111,320
DSX,DAIRY SHORTHORN X,249,169,162,580
