Date,Hour,LocationName,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount
01/02/2014,0,Albion Street North,Saturday,2014,1,January,5,115
01/02/2014,1,Briggate,Saturday,2014,1,January,5,383
01/02/2014,1,Briggate at McDonalds ,Saturday,2014,1,January,5,211
01/02/2014,1,Commercial Street at Lush,Saturday,2014,1,January,5,38
01/02/2014,1,Commercial Street at Barratts,Saturday,2014,1,January,5,88
01/02/2014,1,Headrow,Saturday,2014,1,January,5,75
01/02/2014,1,Dortmund Square ,Saturday,2014,1,January,5,95
01/02/2014,1,Albion Street South,Saturday,2014,1,January,5,109
01/02/2014,1,Albion Street North,Saturday,2014,1,January,5,41
01/02/2014,2,Briggate,Saturday,2014,1,January,5,440
01/02/2014,2,Briggate at McDonalds ,Saturday,2014,1,January,5,178
01/02/2014,2,Commercial Street at Lush,Saturday,2014,1,January,5,28
01/02/2014,2,Commercial Street at Barratts,Saturday,2014,1,January,5,49
01/02/2014,2,Headrow,Saturday,2014,1,January,5,85
01/02/2014,2,Dortmund Square ,Saturday,2014,1,January,5,72
01/02/2014,2,Albion Street South,Saturday,2014,1,January,5,91
01/02/2014,2,Albion Street North,Saturday,2014,1,January,5,39
01/02/2014,3,Briggate,Saturday,2014,1,January,5,390
01/02/2014,3,Briggate at McDonalds ,Saturday,2014,1,January,5,185
01/02/2014,3,Commercial Street at Lush,Saturday,2014,1,January,5,39
01/02/2014,3,Commercial Street at Barratts,Saturday,2014,1,January,5,61
01/02/2014,3,Headrow,Saturday,2014,1,January,5,46
01/02/2014,3,Dortmund Square ,Saturday,2014,1,January,5,44
01/02/2014,3,Albion Street South,Saturday,2014,1,January,5,43
01/02/2014,3,Albion Street North,Saturday,2014,1,January,5,21
01/02/2014,4,Briggate,Saturday,2014,1,January,5,395
01/02/2014,4,Briggate at McDonalds ,Saturday,2014,1,January,5,100
01/02/2014,4,Commercial Street at Lush,Saturday,2014,1,January,5,30
01/02/2014,4,Commercial Street at Barratts,Saturday,2014,1,January,5,74
01/02/2014,4,Headrow,Saturday,2014,1,January,5,40
01/02/2014,4,Dortmund Square ,Saturday,2014,1,January,5,6
01/02/2014,4,Albion Street South,Saturday,2014,1,January,5,14
01/02/2014,4,Albion Street North,Saturday,2014,1,January,5,7
01/02/2014,5,Briggate,Saturday,2014,1,January,5,270
01/02/2014,5,Briggate at McDonalds ,Saturday,2014,1,January,5,88
01/02/2014,5,Commercial Street at Lush,Saturday,2014,1,January,5,42
01/02/2014,5,Commercial Street at Barratts,Saturday,2014,1,January,5,57
01/02/2014,5,Headrow,Saturday,2014,1,January,5,33
01/02/2014,5,Dortmund Square ,Saturday,2014,1,January,5,16
01/02/2014,5,Albion Street South,Saturday,2014,1,January,5,25
01/02/2014,5,Albion Street North,Saturday,2014,1,January,5,27
01/02/2014,6,Briggate,Saturday,2014,1,January,5,218
01/02/2014,6,Briggate at McDonalds ,Saturday,2014,1,January,5,77
01/02/2014,6,Commercial Street at Lush,Saturday,2014,1,January,5,29
01/02/2014,6,Commercial Street at Barratts,Saturday,2014,1,January,5,64
01/02/2014,6,Headrow,Saturday,2014,1,January,5,18
01/02/2014,6,Dortmund Square ,Saturday,2014,1,January,5,16
01/02/2014,6,Albion Street South,Saturday,2014,1,January,5,42
01/02/2014,6,Albion Street North,Saturday,2014,1,January,5,26
01/02/2014,7,Briggate,Saturday,2014,1,January,5,214
01/02/2014,7,Briggate at McDonalds ,Saturday,2014,1,January,5,102
01/02/2014,7,Commercial Street at Lush,Saturday,2014,1,January,5,92
01/02/2014,7,Commercial Street at Barratts,Saturday,2014,1,January,5,120
01/02/2014,7,Headrow,Saturday,2014,1,January,5,53
01/02/2014,7,Dortmund Square ,Saturday,2014,1,January,5,49
01/02/2014,7,Albion Street South,Saturday,2014,1,January,5,78
01/02/2014,7,Albion Street North,Saturday,2014,1,January,5,39
01/02/2014,8,Briggate,Saturday,2014,1,January,5,373
01/02/2014,8,Briggate at McDonalds ,Saturday,2014,1,January,5,265
01/02/2014,8,Commercial Street at Lush,Saturday,2014,1,January,5,304
01/02/2014,8,Commercial Street at Barratts,Saturday,2014,1,January,5,259
01/02/2014,8,Headrow,Saturday,2014,1,January,5,152
01/02/2014,8,Dortmund Square ,Saturday,2014,1,January,5,264
01/02/2014,8,Albion Street South,Saturday,2014,1,January,5,203
01/02/2014,8,Albion Street North,Saturday,2014,1,January,5,210
01/02/2014,9,Briggate,Saturday,2014,1,January,5,829
01/02/2014,9,Briggate at McDonalds ,Saturday,2014,1,January,5,488
01/02/2014,9,Commercial Street at Lush,Saturday,2014,1,January,5,658
01/02/2014,9,Commercial Street at Barratts,Saturday,2014,1,January,5,495
01/02/2014,9,Headrow,Saturday,2014,1,January,5,412
01/02/2014,9,Dortmund Square ,Saturday,2014,1,January,5,578
01/02/2014,9,Albion Street South,Saturday,2014,1,January,5,527
01/02/2014,9,Albion Street North,Saturday,2014,1,January,5,199
01/02/2014,10,Briggate,Saturday,2014,1,January,5,837
01/02/2014,10,Briggate at McDonalds ,Saturday,2014,1,January,5,912
01/02/2014,10,Commercial Street at Lush,Saturday,2014,1,January,5,1336
01/02/2014,10,Commercial Street at Barratts,Saturday,2014,1,January,5,888
01/02/2014,10,Headrow,Saturday,2014,1,January,5,856
01/02/2014,10,Dortmund Square ,Saturday,2014,1,January,5,1148
01/02/2014,10,Albion Street South,Saturday,2014,1,January,5,639
01/02/2014,10,Albion Street North,Saturday,2014,1,January,5,1110
01/02/2014,11,Briggate,Saturday,2014,1,January,5,3477
01/02/2014,11,Briggate at McDonalds ,Saturday,2014,1,January,5,1576
01/02/2014,11,Commercial Street at Lush,Saturday,2014,1,January,5,2026
01/02/2014,11,Commercial Street at Barratts,Saturday,2014,1,January,5,1498
01/02/2014,11,Headrow,Saturday,2014,1,January,5,1337
01/02/2014,11,Dortmund Square ,Saturday,2014,1,January,5,2150
01/02/2014,11,Albion Street South,Saturday,2014,1,January,5,2418
01/02/2014,11,Albion Street North,Saturday,2014,1,January,5,3232
01/02/2014,12,Briggate,Saturday,2014,1,January,5,6521
01/02/2014,12,Briggate at McDonalds ,Saturday,2014,1,January,5,2191
01/02/2014,12,Commercial Street at Lush,Saturday,2014,1,January,5,2901
01/02/2014,12,Commercial Street at Barratts,Saturday,2014,1,January,5,2432
01/02/2014,12,Headrow,Saturday,2014,1,January,5,1909
01/02/2014,12,Dortmund Square ,Saturday,2014,1,January,5,3359
01/02/2014,12,Albion Street South,Saturday,2014,1,January,5,3414
01/02/2014,12,Albion Street North,Saturday,2014,1,January,5,2447
01/02/2014,13,Briggate,Saturday,2014,1,January,5,6658
01/02/2014,13,Briggate at McDonalds ,Saturday,2014,1,January,5,2639
01/02/2014,13,Commercial Street at Lush,Saturday,2014,1,January,5,3666
01/02/2014,13,Commercial Street at Barratts,Saturday,2014,1,January,5,3159
01/02/2014,13,Headrow,Saturday,2014,1,January,5,2364
01/02/2014,13,Dortmund Square ,Saturday,2014,1,January,5,4662
01/02/2014,13,Albion Street South,Saturday,2014,1,January,5,3998
01/02/2014,13,Albion Street North,Saturday,2014,1,January,5,2808
01/02/2014,14,Briggate,Saturday,2014,1,January,5,6008
01/02/2014,14,Briggate at McDonalds ,Saturday,2014,1,January,5,2501
01/02/2014,14,Commercial Street at Lush,Saturday,2014,1,January,5,3789
01/02/2014,14,Commercial Street at Barratts,Saturday,2014,1,January,5,2811
01/02/2014,14,Headrow,Saturday,2014,1,January,5,2573
01/02/2014,14,Dortmund Square ,Saturday,2014,1,January,5,5851
01/02/2014,14,Albion Street South,Saturday,2014,1,January,5,4636
01/02/2014,14,Albion Street North,Saturday,2014,1,January,5,2855
01/02/2014,15,Briggate,Saturday,2014,1,January,5,6412
01/02/2014,15,Briggate at McDonalds ,Saturday,2014,1,January,5,2674
01/02/2014,15,Commercial Street at Lush,Saturday,2014,1,January,5,3870
01/02/2014,15,Commercial Street at Barratts,Saturday,2014,1,January,5,3046
01/02/2014,15,Headrow,Saturday,2014,1,January,5,2552
01/02/2014,15,Dortmund Square ,Saturday,2014,1,January,5,5804
