LAD17CD,LAD17NM,CSP17CD,CSP17NM,PFA17CD,PFA17NM,FID
E07000168,Scarborough,E22000372,North Yorkshire,E23000009,North Yorkshire,77
E07000169,Selby,E22000372,North Yorkshire,E23000009,North Yorkshire,78
E07000170,Ashfield,E22000251,Ashfield,E23000019,Nottinghamshire,79
E07000171,Bassetlaw,E22000252,Bassetlaw,E23000019,Nottinghamshire,80
E07000172,Broxtowe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,81
E07000173,Gedling,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,82
E07000174,Mansfield,E22000255,Mansfield,E23000019,Nottinghamshire,83
E07000175,Newark and Sherwood,E22000256,Newark and Sherwood,E23000019,Nottinghamshire,84
E07000176,Rushcliffe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,85
E07000177,Cherwell,E22000305,Cherwell,E23000029,Thames Valley,86
E07000178,Oxford,E22000308,Oxford,E23000029,Thames Valley,87
E07000179,South Oxfordshire,E22000312,South Oxfordshire,E23000029,Thames Valley,88
E07000180,Vale of White Horse,E22000313,Vale of White Horse,E23000029,Thames Valley,89
E07000181,West Oxfordshire,E22000315,West Oxfordshire,E23000029,Thames Valley,90
E07000187,Mendip,E22000369,Somerset,E23000036,Avon and Somerset,91
E07000188,Sedgemoor,E22000369,Somerset,E23000036,Avon and Somerset,92
E07000189,South Somerset,E22000369,Somerset,E23000036,Avon and Somerset,93
E07000190,Taunton Deane,E22000369,Somerset,E23000036,Avon and Somerset,94
E07000191,West Somerset,E22000369,Somerset,E23000036,Avon and Somerset,95
E07000192,Cannock Chase,E22000263,Cannock Chase,E23000015,Staffordshire,96
E07000193,East Staffordshire,E22000264,East Staffordshire,E23000015,Staffordshire,97
E07000194,Lichfield,E22000265,Lichfield,E23000015,Staffordshire,98
E07000195,Newcastle-under-Lyme,E22000266,Newcastle-under-Lyme,E23000015,Staffordshire,99
E07000196,South Staffordshire,E22000267,South Staffordshire,E23000015,Staffordshire,100
E07000197,Stafford,E22000268,Stafford,E23000015,Staffordshire,101
E07000198,Staffordshire Moorlands,E22000269,Staffordshire Moorlands,E23000015,Staffordshire,102
E07000199,Tamworth,E22000271,Tamworth,E23000015,Staffordshire,103
E07000200,Babergh,E22000373,Western Suffolk,E23000025,Suffolk,104
E07000201,Forest Heath,E22000373,Western Suffolk,E23000025,Suffolk,105
E07000202,Ipswich,E22000273,Ipswich,E23000025,Suffolk,106
E07000203,Mid Suffolk,E22000373,Western Suffolk,E23000025,Suffolk,107
E07000204,St Edmundsbury,E22000373,Western Suffolk,E23000025,Suffolk,108
E07000205,Suffolk Coastal,E22000274,Suffolk Coastal,E23000025,Suffolk,109
E07000206,Waveney,E22000278,Waveney,E23000025,Suffolk,110
E07000207,Elmbridge,E22000279,Elmbridge,E23000031,Surrey,111
E07000208,Epsom and Ewell,E22000280,Epsom and Ewell,E23000031,Surrey,112
E07000209,Guildford,E22000281,Guildford,E23000031,Surrey,113
E07000210,Mole Valley,E22000282,Mole Valley,E23000031,Surrey,114
E07000211,Reigate and Banstead,E22000283,Reigate and Banstead,E23000031,Surrey,115
E07000212,Runnymede,E22000284,Runnymede,E23000031,Surrey,116
E07000213,Spelthorne,E22000285,Spelthorne,E23000031,Surrey,117
E07000214,Surrey Heath,E22000286,Surrey Heath,E23000031,Surrey,118
E07000215,Tandridge,E22000287,Tandridge,E23000031,Surrey,119
E07000216,Waverley,E22000288,Waverley,E23000031,Surrey,120
E07000217,Woking,E22000289,Woking,E23000031,Surrey,121
E07000218,North Warwickshire,E22000319,North Warwickshire,E23000017,Warwickshire,122
E07000219,Nuneaton and Bedworth,E22000320,Nuneaton and Bedworth,E23000017,Warwickshire,123
E07000220,Rugby,E22000321,Rugby,E23000017,Warwickshire,124
E07000221,Stratford-on-Avon,E22000359,South Warwickshire,E23000017,Warwickshire,125
E07000222,Warwick,E22000359,South Warwickshire,E23000017,Warwickshire,126
E07000223,Adur,E22000290,Adur,E23000033,Sussex,127
E07000224,Arun,E22000291,Arun,E23000033,Sussex,128
E07000225,Chichester,E22000293,Chichester,E23000033,Sussex,129
E07000226,Crawley,E22000294,Crawley,E23000033,Sussex,130
E07000227,Horsham,E22000297,Horsham,E23000033,Sussex,131
E07000228,Mid Sussex,E22000299,Mid Sussex,E23000033,Sussex,132
E07000229,Worthing,E22000302,Worthing,E23000033,Sussex,133
E07000234,Bromsgrove,E22000368,North Worcestershire,E23000016,West Mercia,134
E07000235,Malvern Hills,E22000332,South Worcester,E23000016,West Mercia,135
E07000236,Redditch,E22000368,North Worcestershire,E23000016,West Mercia,136
E07000237,Worcester,E22000332,South Worcester,E23000016,West Mercia,137
E07000238,Wychavon,E22000332,South Worcester,E23000016,West Mercia,138
E07000239,Wyre Forest,E22000368,North Worcestershire,E23000016,West Mercia,139
E07000240,St Albans,E22000128,St Albans,E23000027,Hertfordshire,140
E07000241,Welwyn Hatfield,E22000132,Welwyn Hatfield,E23000027,Hertfordshire,141
E08000001,Bolton,E22000099,Bolton,E23000005,Greater Manchester,142
E08000002,Bury,E22000100,Bury,E23000005,Greater Manchester,143
E08000003,Manchester,E22000101,Manchester,E23000005,Greater Manchester,144
E08000004,Oldham,E22000102,Oldham,E23000005,Greater Manchester,145
E08000005,Rochdale,E22000103,Rochdale,E23000005,Greater Manchester,146
E08000006,Salford,E22000104,Salford,E23000005,Greater Manchester,147
E08000007,Stockport,E22000105,Stockport,E23000005,Greater Manchester,148
E08000008,Tameside,E22000106,Tameside,E23000005,Greater Manchester,149
E08000009,Trafford,E22000107,Trafford,E23000005,Greater Manchester,150
E08000010,Wigan,E22000108,Wigan,E23000005,Greater Manchester,151
E08000011,Knowsley,E22000181,Knowsley,E23000004,Merseyside,152
E08000012,Liverpool,E22000182,Liverpool,E23000004,Merseyside,153
E08000014,Sefton,E22000183,Sefton,E23000004,Merseyside,154
E08000013,St. Helens,E22000184,St. Helens,E23000004,Merseyside,155
E08000015,Wirral,E22000185,Wirral,E23000004,Merseyside,156
E08000016,Barnsley,E22000259,Barnsley,E23000011,South Yorkshire,157
E08000017,Doncaster,E22000260,Doncaster,E23000011,South Yorkshire,158
E08000018,Rotherham,E22000261,Rotherham,E23000011,South Yorkshire,159
E08000019,Sheffield,E22000262,Sheffield,E23000011,South Yorkshire,160
E08000037,Gateshead,E22000244,Gateshead,E23000007,Northumbria,161
E08000021,Newcastle upon Tyne,E22000245,Newcastle upon Tyne,E23000007,Northumbria,162
E08000022,North Tyneside,E22000246,North Tyneside,E23000007,Northumbria,163
E08000023,South Tyneside,E22000247,South Tyneside,E23000007,Northumbria,164
E08000024,Sunderland,E22000248,Sunderland,E23000007,Northumbria,165
E08000025,Birmingham,E22000335,Birmingham,E23000014,West Midlands,166
E08000026,Coventry,E22000336,Coventry,E23000014,West Midlands,167
E08000027,Dudley,E22000337,Dudley,E23000014,West Midlands,168
E08000028,Sandwell,E22000338,Sandwell,E23000014,West Midlands,169
E08000029,Solihull,E22000339,Solihull,E23000014,West Midlands,170
E08000030,Walsall,E22000340,Walsall,E23000014,West Midlands,171
E08000031,Wolverhampton,E22000341,Wolverhampton,E23000014,West Midlands,172
E08000032,Bradford,E22000342,Bradford,E23000010,West Yorkshire,173
E08000033,Calderdale,E22000343,Calderdale,E23000010,West Yorkshire,174
E07000006,South Bucks,E22000311,South Bucks,E23000029,Thames Valley,175
E08000034,Kirklees,E22000344,Kirklees,E23000010,West Yorkshire,176
E08000035,Leeds,E22000345,Leeds,E23000010,West Yorkshire,177
E08000036,Wakefield,E22000346,Wakefield,E23000010,West Yorkshire,178
E09000001,City of London,E22000180,City of London,E23000034,""London, City of"",179
E09000002,Barking and Dagenham,E22000186,Barking and Dagenham,E23000001,Metropolitan Police,180
E09000003,Barnet,E22000187,Barnet,E23000001,Metropolitan Police,181
E09000004,Bexley,E22000188,Bexley,E23000001,Metropolitan Police,182
E09000005,Brent,E22000189,Brent,E23000001,Metropolitan Police,183
E09000006,Bromley,E22000190,Bromley,E23000001,Metropolitan Police,184
E09000007,Camden,E22000191,Camden,E23000001,Metropolitan Police,185
E09000008,Croydon,E22000193,Croydon,E23000001,Metropolitan Police,186
E09000009,Ealing,E22000194,Ealing,E23000001,Metropolitan Police,187
E09000010,Enfield,E22000195,Enfield,E23000001,Metropolitan Police,188
E09000011,Greenwich,E22000196,Greenwich,E23000001,Metropolitan Police,189
E09000012,Hackney,E22000197,Hackney,E23000001,Metropolitan Police,190
E09000013,Hammersmith and Fulham,E22000198,Hammersmith and Fulham,E23000001,Metropolitan Police,191
E09000014,Haringey,E22000199,Haringey,E23000001,Metropolitan Police,192
E07000007,Wycombe,E22000318,Wycombe,E23000029,Thames Valley,193
E09000015,Harrow,E22000200,Harrow,E23000001,Metropolitan Police,194
E07000008,Cambridge,E22000013,Cambridge,E23000023,Cambridgeshire,195
E09000016,Havering,E22000201,Havering,E23000001,Metropolitan Police,196
E09000017,Hillingdon,E22000202,Hillingdon,E23000001,Metropolitan Police,197
E09000018,Hounslow,E22000203,Hounslow,E23000001,Metropolitan Police,198
E09000019,Islington,E22000204,Islington,E23000001,Metropolitan Police,199
E09000020,Kensington and Chelsea,E22000205,Kensington and Chelsea,E23000001,Metropolitan Police,200
E09000021,Kingston upon Thames,E22000206,Kingston upon Thames,E23000001,Metropolitan Police,201
E09000022,Lambeth,E22000207,Lambeth,E23000001,Metropolitan Police,202
E09000023,Lewisham,E22000208,Lewisham,E23000001,Metropolitan Police,203
E09000024,Merton,E22000209,Merton,E23000001,Metropolitan Police,204
E09000025,Newham,E22000210,Newham,E23000001,Metropolitan Police,205
E09000026,Redbridge,E22000211,Redbridge,E23000001,Metropolitan Police,206
E09000027,Richmond upon Thames,E22000212,Richmond upon Thames,E23000001,Metropolitan Police,207
E09000028,Southwark,E22000213,Southwark,E23000001,Metropolitan Police,208
E09000029,Sutton,E22000214,Sutton,E23000001,Metropolitan Police,209
E09000030,Tower Hamlets,E22000215,Tower Hamlets,E23000001,Metropolitan Police,210
E09000031,Waltham Forest,E22000216,Waltham Forest,E23000001,Metropolitan Police,211
E09000032,Wandsworth,E22000217,Wandsworth,E23000001,Metropolitan Police,212
E09000033,Westminster,E22000192,Westminster,E23000001,Metropolitan Police,213
W06000001,Isle of Anglesey,W14000001,Isle of Anglesey,W15000001,North Wales,214
W06000002,Gwynedd,W14000002,Gwynedd,W15000001,North Wales,215
W06000003,Conwy,W14000003,Conwy,W15000001,North Wales,216
W06000004,Denbighshire,W14000004,Denbighshire,W15000001,North Wales,217
W06000005,Flintshire,W14000005,Flintshire,W15000001,North Wales,218
W06000006,Wrexham,W14000006,Wrexham,W15000001,North Wales,219
W06000008,Ceredigion,W14000008,Ceredigion,W15000004,Dyfed-Powys,220
W06000009,Pembrokeshire,W14000009,Pembrokeshire,W15000004,Dyfed-Powys,221
W06000010,Carmarthenshire,W14000010,Carmarthenshire,W15000004,Dyfed-Powys,222
W06000011,Swansea,W14000011,Swansea,W15000003,South Wales,223
W06000012,Neath Port Talbot,W14000012,Neath Port Talbot,W15000003,South Wales,224
W06000013,Bridgend,W14000013,Bridgend,W15000003,South Wales,225
W06000014,Vale of Glamorgan,W14000014,Vale of Glamorgan,W15000003,South Wales,226
W06000015,Cardiff,W14000015,Cardiff,W15000003,South Wales,227
W06000016,Rhondda Cynon Taf,W14000023,Cwm Taf,W15000003,South Wales,228
W06000018,Caerphilly,W14000018,Caerphilly,W15000002,Gwent,229
W06000019,Blaenau Gwent,W14000019,Blaenau Gwent,W15000002,Gwent,230
W06000020,Torfaen,W14000020,Torfaen,W15000002,Gwent,231
W06000021,Monmouthshire,W14000021,Monmouthshire,W15000002,Gwent,232
W06000022,Newport,W14000022,Newport,W15000002,Gwent,233
W06000023,Powys,W14000007,Powys,W15000004,Dyfed-Powys,234
W06000024,Merthyr Tydfil,W14000023,Cwm Taf,W15000003,South Wales,235
E07000009,East Cambridgeshire,E22000014,East Cambridgeshire,E23000023,Cambridgeshire,236
E07000010,Fenland,E22000015,Fenland,E23000023,Cambridgeshire,237
E07000011,Huntingdonshire,E22000016,Huntingdonshire,E23000023,Cambridgeshire,238
