objectid,ttwa01cd,ttwa01cdo,ttwa01nm,st_areashape,st_lengthshape
200,S22000023,113,Irvine & Arran,867902597.576211,299822.933484852
201,S22000024,115,Kelso & Jedburgh,477558944.295418,148556.072830293
202,S22000025,121,Kirkcaldy & Glenrothes,502943800.696002,186976.262776941
203,S22000026,122,Kirkcudbright,1639440438.04859,356841.347111063
204,S22000027,123,Lanarkshire,1935472101.81401,354182.632632765
205,S22000028,130,Livingston & Bathgate,437099819.981846,152395.827254022
206,S22000029,133,Lochaber,4785741235.18258,1036872.48282279
207,S22000030,134,Lochgilphead,1141213333.42189,467024.449836697
208,S22000031,153,Moray,2238228849.74571,393011.736038306
209,S22000032,155,Mull & Islay,2105441306.38694,1068041.63045569
210,S22000033,160,Newton Stewart & Wigtown,1022031165.55082,298420.494338757
211,S22000034,166,Oban,2084977359.10586,770572.691675695
212,S22000035,169,Orkney Islands,988759415.348397,876738.82476112
213,S22000036,176,Perth & Blairgowrie,2170403964.08946,567073.781836723
214,S22000037,178,Peterhead,384872277.533616,193108.331931173
215,S22000038,179,Pitlochry,3453082836.35521,458081.669219963
216,S22000039,196,Shetland Islands,1438222896.20249,1394438.4245275
217,S22000040,199,Skye & Lochalsh,2659834162.73371,1045271.75639287
218,S22000041,203,St Andrews & Cupar,418332578.675283,167239.321007226
219,S22000042,207,Stirling & Alloa,1598619197.57534,383524.204016238
220,S22000043,210,Stranraer,840121158.496622,294452.191625221
221,S22000044,217,Thurso,2237288675.26243,469953.892056871
222,S22000045,223,Ullapool & Gairloch,4370077108.07143,1222749.25563073
223,S22000046,232,Wick,849404267.541116,234884.863990851
224,W22000001,002,Aberystwyth & Lampeter,1550465478.44957,292212.367903628
225,W22000002,010,"Bangor, Caernarfon & Llangefni",1059712544.65604,395652.933959655
226,W22000003,029,Bridgend,371106927.655531,127856.885460963
227,W22000004,044,Cardiff,798085834.999004,235249.438383807
228,W22000005,045,Cardigan,702110864.24059,204008.907661195
229,W22000006,047,Carmarthen & Llandovery,1936440047.9517,413989.556305771
230,W22000007,065,Dolgellau & Barmouth,890114731.292048,223068.391734377
231,W22000008,078,Ebbw Vale & Abergavenny,572292156.40053,210535.159017596
232,W22000009,100,Haverfordwest & Fishguard,1050191016.02855,464215.035725753
233,W22000010,105,Holyhead,125358638.022875,170319.368107497
234,W22000011,131,Llandrindod Wells & Builth Wells,1565050526.12565,244771.259898014
235,W22000012,132,Llandudno & Colwyn Bay,829802575.016824,221522.712803373
236,W22000013,140,Machynlleth & Tywyn,663982829.351074,186986.046478428
237,W22000014,147,Merthyr Tydfil & Aberdare,273124484.421924,92712.2149244904
238,W22000015,161,Newtown & Welshpool,1537444596.69573,267514.620585732
239,W22000016,173,Pembroke & Tenby,282972067.159063,205111.034362958
240,W22000017,182,Porthmadog & Ffestiniog,525290000.371825,189374.170419088
241,W22000018,185,Pwllheli,369771154.162972,166126.283428913
242,W22000019,187,Rhyl & Denbigh,815562425.794079,204915.645533538
243,W22000020,212,Swansea Bay,1244653054.08637,576362.544213909
