sample,date,latitude,longitude,size,sex,season,analyte,measured_value,lod,units,value,detected
TYP111109-01,11/9/2011,32.69154,-79.89108,L,male,fall,cortisol,0.267,0.181,ng/g ww,0.267,TRUE
TYP111115-01,11/15/2011,32.63134,-79.9989,L,male,fall,cortisol,0.227,0.181,ng/g ww,0.227,TRUE
TYP111115-02,11/15/2011,32.63316,-80.01234,L,male,fall,cortisol,0.626,0.181,ng/g ww,0.626,TRUE
TYP111130-03,11/30/2011,32.73155,-79.86607,L,male,fall,cortisol,0.505,0.181,ng/g ww,0.505,TRUE
TYP111205-03,12/5/2011,32.46657,-80.41351,L,male,fall,cortisol,0.274,0.181,ng/g ww,0.274,TRUE
TYP111215-02,12/15/2011,32.57003,-80.19822,L,male,fall,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120110-02,1/10/2012,32.65757,-80.01073,M,male,winter,cortisol,0.667,0.181,ng/g ww,0.667,TRUE
TYP120112-01,1/12/2012,32.81717,-79.92647,M,male,winter,cortisol,0.672,0.181,ng/g ww,0.672,TRUE
TYP120112-02,1/12/2012,32.81272,-79.91814,L,male,winter,cortisol,0.198,0.181,ng/g ww,0.198,TRUE
TYP120119-01,1/19/2012,32.55066,-80.45466,L,male,winter,cortisol,1.56,0.181,ng/g ww,1.56,TRUE
TYP120119-03,1/19/2012,32.53057,-80.41205,L,male,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120119-04,1/19/2012,32.52467,-80.40909,M,male,winter,cortisol,1.24,0.181,ng/g ww,1.24,TRUE
TYP120120-01,1/20/2012,32.53066,-80.3572,L,male,winter,cortisol,1.15,0.181,ng/g ww,1.15,TRUE
TYP120217-01,2/17/2012,32.77552,-79.91837,L,male,winter,cortisol,0.24,0.181,ng/g ww,0.24,TRUE
TYP120217-02,2/17/2012,32.78398,-79.92317,L,male,winter,cortisol,0.311,0.181,ng/g ww,0.311,TRUE
TYP120217-03,2/17/2012,32.77087,-79.92567,L,male,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120217-04,2/17/2012,32.77467,-79.95071,L,male,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
TYP120217-05,2/17/2012,32.7442,-79.87368,L,male,winter,cortisol,NA,0.181,ng/g ww,0.181,FALSE
