Point1,
RGo,
C1s,
530.1,327.5
530.05,333.75
530,324.375
529.95,326.875
529.9,326.25
529.85,295
529.8,316.25
529.75,302.5
529.7,314.375
529.65,315
529.6,319.375
529.55,303.75
529.5,314.375
529.45,296.875
529.4,293.125
529.35,302.5
529.3,308.125
529.25,316.875
529.2,286.25
529.15,287.5
529.1,288.125
529.05,291.25
529,301.25
528.95,300.625
528.9,288.75
528.85,285.625
528.8,278.125
528.75,261.25
528.7,294.375
528.65,285
528.6,290
528.55,280
528.5,285.625
528.45,302.5
528.4,263.125
528.35,273.75
528.3,286.875
528.25,286.875
528.2,255.625
528.15,286.875
528.1,275
528.05,283.75
528,281.25
527.95,277.5
527.9,276.875
527.85,281.875
527.8,266.875
527.75,273.125
527.7,275
527.65,276.875
527.6,281.875
527.55,303.125
527.5,281.875
527.45,266.25
527.4,316.25
527.35,281.875
527.3,286.875
527.25,276.25
527.2,281.25
527.15,267.5
527.1,273.75
527.05,285.625
527,307.5
526.95,259.375
526.9,316.25
526.85,313.75
526.8,308.125
526.75,280
526.7,263.75
526.65,293.125
526.6,289.375
526.55,273.75
526.5,276.875
526.45,289.375
526.4,311.875
526.35,275.625
526.3,282.5
526.25,281.875
526.2,263.75
526.15,288.125
526.1,294.375
526.05,315.625
526,285
525.95,296.25
525.9,289.375
525.85,293.75
525.8,283.75
525.75,286.25
525.7,298.125
525.65,286.25
525.6,306.875
525.55,281.875
525.5,295
525.45,284.375
525.4,316.25
525.35,301.875
525.3,285.625
525.25,305.625
525.2,293.75
525.15,286.875
525.1,273.75
525.05,270.625
525,315,Point1,
RGo,
Ag3d,
1,
384,247.7083
383.95,248.125
383.9,255.8333
383.85,255
383.8,245.2083
383.75,237.2917
383.7,253.125
383.65,247.7083
383.6,251.4583
383.55,264.1667
383.5,244.1667
383.45,250.4167
383.4,248.9583
383.35,258.125
383.3,261.6667
383.25,250.4167
383.2,240.2083
383.15,250.625
383.1,239.375
383.05,233.75
383,238.3333
382.95,238.9583
382.9,249.5833
382.85,244.375
382.8,240
382.75,242.7083
382.7,245.4167
382.65,251.0417
382.6,252.5
382.55,248.9583
382.5,246.25
382.45,246.4583
382.4,243.75
382.35,237.9167
382.3,246.4583
382.25,252.7083
382.2,244.375
382.15,235.625
382.1,256.0417
382.05,243.75
382,234.1667
381.95,246.875
381.9,255.4167
381.85,244.5833
381.8,244.5833
381.75,236.25
381.7,243.9583
381.65,242.2917
381.6,242.9167
381.55,243.125
381.5,246.25
381.45,250.8333
381.4,243.3333
381.35,246.4583
381.3,250.4167
381.25,248.3333
381.2,244.1667
381.15,256.875
381.1,247.2917
381.05,260.8333
381,250
380.95,243.3333
380.9,253.75
380.85,241.875
380.8,240
380.75,248.125
380.7,235.625
380.65,243.125
380.6,230.625
380.55,236.875
380.5,237.5
380.45,244.7917
380.4,252.7083
380.35,242.2917
380.3,261.0417
380.25,257.0833
380.2,250.625
380.15,253.9583
380.1,241.6667
380.05,231.4583
380,234.5833
379.95,253.5417
379.9,248.75
379.85,250.8333
379.8,245.625
379.75,252.5
379.7,248.75
379.65,246.875
379.6,246.875
379.55,242.9167
379.5,233.75
379.45,247.9167
379.4,251.4583
379.35,242.7083
379.3,236.4583
379.25,229.375
379.2,232.2917
379.15,265.625
379.1,247.0833
379.05,242.9167
379,238.75
378.95,233.125
378.9,247.5
378.85,271.875
378.8,246.0417
378.75,247.0833
378.7,244.375
378.65,235.4167
378.6,253.125
378.55,250.8333
378.5,228.125
378.45,254.5833
378.4,249.5833
378.35,233.5417
378.3,241.0417
378.25,243.75
378.2,243.125
378.15,244.7917
378.1,241.0417
378.05,250.625
378,251.0417
377.95,246.6667
377.9,242.7083
377.85,253.125
377.8,257.7083
377.75,248.75
377.7,248.9583
377.65,243.5417
377.6,251.4583
377.55,240.8333
377.5,248.3333
377.45,238.75
377.4,241.0417
377.35,246.6667
377.3,245.4167
377.25,252.7083
377.2,244.375
377.15,246.0417
377.1,244.7917
377.05,249.375
377,261.0417
376.95,254.5833
376.9,243.9583
376.85,247.7083
376.8,249.7917
376.75,240.4167
376.7,240.625
376.65,248.9583
376.6,239.375
376.55,243.5417
376.5,230.4167
376.45,256.875
376.4,239.375
376.35,244.375
376.3,241.0417
376.25,245
376.2,239.1667
376.15,241.4583
376.1,251.6667
376.05,232.7083
376,248.3333
375.95,247.9167
375.9,248.9583
375.85,240.8333
375.8,250.625
375.75,244.375
375.7,240.2083
375.65,264.375
375.6,242.5
375.55,247.0833
375.5,247.0833
375.45,237.2917
375.4,233.5417
375.35,253.75
375.3,251.4583
375.25,237.9167
375.2,248.5417
375.15,256.25
375.1,242.5
375.05,246.0417
375,246.0417
374.95,241.0417
374.9,242.9167
374.85,243.5417
374.8,236.25
374.75,237.0833
374.7,235.8333
374.65,249.375
374.6,235.8333
374.55,232.0833
374.5,235
374.45,239.5833
374.4,242.2917
374.35,242.7083
374.3,237.7083
374.25,236.0417
374.2,235.4167
374.15,235.4167
374.1,238.5417
374.05,242.9167
374,251.25
373.95,250
373.9,242.2917
373.85,238.9583
373.8,236.0417
373.75,236.6667
373.7,240.8333
373.65,253.9583
373.6,244.7917
373.55,241.6667
373.5,252.2917
373.45,252.2917
373.4,242.0833
373.35,233.125
373.3,241.6667
373.25,237.9167
373.2,254.5833
373.15,234.7917
373.1,243.75
373.05,236.0417
373,249.375
372.95,244.375
372.9,249.1667
372.85,238.3333
372.8,242.0833
372.75,246.25
372.7,245
372.65,237.9167
372.6,249.375
372.55,250.2083
372.5,260.4167
372.45,248.3333
372.4,236.0417
372.35,240.8333
372.3,248.3333
372.25,238.9583
372.2,249.7917
372.15,246.875
372.1,240.8333
372.05,246.25
372,245.8333
371.95,249.1667
371.9,252.9167
371.85,243.5417
371.8,243.75
371.75,242.2917
371.7,238.5417
371.65,230.4167
371.6,238.5417
371.55,235.625
371.5,240
371.45,240.4167
371.4,232.0833
371.35,240.625
371.3,243.75
371.25,235.2083
371.2,247.0833
371.15,243.3333
371.1,253.3333
371.05,247.0833
371,242.5
370.95,250.4167
370.9,249.1667
370.85,240.4167
370.8,245.625
370.75,237.5
370.7,245
370.65,234.7917
370.6,237.9167
370.55,252.2917
370.5,248.9583
370.45,243.125
370.4,241.4583
370.35,241.4583
370.3,236.875
370.25,241.875
370.2,242.5
370.15,237.9167
370.1,257.7083
370.05,248.75
370,249.1667
369.95,251.6667
369.9,248.3333
369.85,236.4583
369.8,251.875
369.75,242.2917
369.7,250.8333
369.65,237.2917
369.6,246.6667
369.55,238.125
369.5,239.7917
369.45,247.5
369.4,242.0833
369.35,254.375
369.3,242.2917
369.25,248.75
369.2,254.375
369.15,241.0417
369.1,238.3333
369.05,240.8333
369,261.6667
368.95,246.4583
368.9,250.2083
368.85,241.6667
368.8,241.6667
368.75,241.0417
368.7,252.9167
368.65,239.375
368.6,237.0833
368.55,239.1667
368.5,228.125
368.45,243.75
368.4,238.75
368.35,239.7917
368.3,249.1667
368.25,246.875
368.2,237.9167
368.15,237.9167
368.1,248.3333
368.05,240.8333
368,251.4583
367.95,245.4167
367.9,255.4167
367.85,240.2083
367.8,251.25
367.75,229.375
367.7,235
367.65,238.3333
367.6,236.4583
367.55,236.4583
367.5,258.9583
367.45,240.4167
367.4,234.1667
367.35,235.2083
367.3,232.2917
367.25,240.625
367.2,250.2083
367.15,247.9167
367.1,234.375
367.05,238.75
367,248.5417
366.95,242.0833
366.9,236.6667
366.85,245
366.8,246.25
366.75,249.7917
366.7,248.3333
366.65,239.1667
366.6,243.125
366.55,246.4583
366.5,248.3333
366.45,246.25
366.4,258.9583
366.35,242.9167
366.3,239.5833
366.25,247.2917
366.2,244.7917
366.15,242.0833
366.1,238.9583
366.05,232.0833
366,249.7917
365.95,242.7083
365.9,234.5833
365.85,237.9167
365.8,246.875
365.75,246.4583
365.7,247.7083
365.65,232.7083
365.6,239.5833
365.55,242.2917
365.5,244.5833
365.45,255.625
365.4,241.25
365.35,241.4583
365.3,246.875
365.25,227.7083
365.2,240.625
365.15,236.6667
365.1,236.875
365.05,233.75
365,242.2917
364.95,236.6667
364.9,243.5417
364.85,241.875
364.8,247.9167
364.75,253.75
364.7,247.9167
364.65,239.1667
364.6,222.2917
364.55,253.3333
364.5,235.2083
364.45,249.5833
364.4,251.0417
364.35,243.3333
364.3,248.3333
364.25,242.5
364.2,238.9583
364.15,237.0833
364.1,246.4583
364.05,235.4167
364,239.1667
