Accession PI Number,Country of Origin,DNA Content (pg),Predicted 2n Number,Counted 2n Number,Reported 2n Number
409225,South Africa,3.96,45,,
409265,South Africa,3.96,45,,
409266,South Africa,3.96,45,,
409325,South Africa,3.96,45,,
409693,South Africa,3.96,45,,
409702,South Africa,3.96,45,,
414512,South Africa,3.96,45,,
185565,South Africa,3.99,45,,
202513,Morocco,3.99,45,,
252263,Mexico,3.99,45,,
253259,South Africa,3.99,45,,
253269,South Africa,3.99,45,,
409163,South Africa,3.99,45,,
409174,South Africa,3.99,45,,
409176,South Africa,3.99,45,,
409185,South Africa,3.99,45,,
409188,South Africa,3.99,45,,
409221,South Africa,3.99,45,,
409294,South Africa,3.99,45,,
409302,South Africa,3.99,45,,
409305,South Africa,3.99,45,,
409359,South Africa,3.99,45,,
409360,South Africa,3.99,45,,
409508,South Africa,3.99,45,,
409700,South Africa,3.99,45,,
203363,South Africa,4.02,45,,
226087,Kenya,4.02,45,,
409205,South Africa,4.02,45,,
409209,South Africa,4.02,45,,
409223,South Africa,4.02,45,45,
409232,South Africa,4.02,45,,
409267,South Africa,4.02,45,,
409268,South Africa,4.02,45,,
409278,South Africa,4.02,45,,
409279,South Africa,4.02,45,,
409303,South Africa,4.02,45,,
409639,South Africa,4.02,45,,
414507,Kenya,4.02,45,,
414513,South Africa,4.02,45,,
271205,India,4.05,45,,
409197,South Africa,4.05,45,,
409200,South Africa,4.05,45,,
409220,South Africa,4.05,45,,
409228,South Africa,4.05,45,,
409274,South Africa,4.05,45,,
409301,South Africa,4.05,45,,
409433,South Africa,4.05,45,,
409703,South Africa,4.05,45,45,
409707,South Africa,4.05,45,,
409214,South Africa,4.08,45,,
409250,South Africa,4.08,45,,
409256,South Africa,4.08,45,,
409269,South Africa,4.08,45,,
409369,South Africa,4.08,45,,
409396,South Africa,4.08,45,,
409629,South Africa,4.08,45,,
409704,South Africa,4.08,45,45,
409162,South Africa,4.11,46-53,,
409219,South Africa,4.11,46-53,,
409400,South Africa,4.11,46-53,,
409438,South Africa,4.11,46-53,,
657690,Australia,4.11,46-53,,
409198,South Africa,4.14,46-53,,
409284,South Africa,4.14,46-53,,
409244,South Africa,4.17,46-53,,
409333,South Africa,4.17,46-53,,
203366,South Africa,4.23,46-53,,
409430,South Africa,4.23,46-53,,
414515,South Africa,4.29,46-53,51,
414524,Australia,4.29,46-53,,
365730,Tanzania,4.35,46-53,53,
414506,Kenya,4.35,46-53,53,
364423,South Africa,4.37,46-53,,
185561,South Africa,4.43,54,,
185562,South Africa,4.43,54,54,"2n=54; Fisher et al., 1954"
414499,Australia,4.43,54,,
271203,India,4.46,54,,
271206,India,4.46,54,,
364430,South Africa,4.46,54,,
409679,South Africa,4.46,54,,
299537,South Africa,4.49,54,54,
240169,Morocco,4.52,54,,
316189,Australia,4.52,54,,
378879,South Africa,4.55,54,,
409684,South Africa,4.58,54,,
409716,South Africa,4.58,54,,
414535,South Africa,4.58,54,,
284834,Morocco,4.64,54,,
385375,South Africa,4.64,54,,
409692,South Africa,4.64,54,,
414458,South Africa,4.64,54,,
414532,South Africa,4.64,54,,
409357,South Africa,4.79,54,,
414500,Australia,5.56,63,63,
409296,South Africa,5.68,63,,
,,,,,
