OBJECTID,FEATURE1,FEATURE2,FEATURE3,SHAPE.LEN
7240,Ridge,Transverse, ,0.0164222437639963
7248,Ridge,Transverse, ,0.0269231639413984
7259,Ridge,Transverse, ,0.0181332581833278
7273,Ridge,Transverse, ,0.0190310675396883
7276,Ridge,Transverse, ,0.0292973289666782
7285,Ridge,Transverse, ,0.0118147806167377
7324,Ridge,Transverse, ,0.0176223422021989
7334,Ridge,Transverse, ,0.009383164240115
7340,Ridge,Transverse, ,0.023428947664917
7348,Ridge,Transverse, ,0.00968496856922652
7352,Ridge,Transverse, ,0.0345337848983723
7360,River Channel,Small,Partly Buried,0.0493820556968187
7362,River Channel,Small,Not Buried,0.0759216265384136
7367,River Channel,Small,Not Buried,0.030031077585805
7368,River Channel,Small,Not Buried,0.0367715445695007
7370,River Channel,Small,Not Buried,0.0243851499801606
7371,River Channel,Small,Not Buried,0.0302838445831873
7374,River Channel,Small,Not Buried,0.0531069877256988
7375,River Channel,Small,Not Buried,0.00397957647076771
7380,Esker, , ,0.0284016702663253
7384,Esker, , ,0.0303421008659122
7387,Ice Margin,Uncertain, ,0.0438714139529683
7391,Ridge,Longitudinal, ,0.0213301417822591
7394,Ridge,Longitudinal, ,0.0164110974600248
7395,Ridge,Longitudinal, ,0.0280708113774486
7396,Ridge,Longitudinal, ,0.0142927706352079
7398,Ridge,Longitudinal, ,0.0324486509738259
7402,River Channel,Large,Not Buried,0.0904499009437946
7413,River Channel,Small,Not Buried,0.0247194002785734
7414,River Channel,Small,Not Buried,0.0121933866859224
8879,Ridge,Longitudinal, ,0.0186825230341969
8881,Ridge,Longitudinal, ,0.0165884073746784
8887,Ridge,Longitudinal, ,0.0188824980133108
8889,Ridge,Transverse, ,0.0100647598884381
8890,Ridge,Transverse, ,0.00948913683192578
8892,Ridge,Transverse, ,0.0128813729569599
8898,Ridge,Transverse, ,0.00477251680080112
8899,Ridge,Transverse, ,0.00467986823435062
8901,Ridge,Transverse, ,0.0145393288425171
8902,Ridge,Transverse, ,0.0295891784232017
8903,Ridge,Transverse, ,0.0341005640889927
8904,Ridge,Transverse, ,0.0193315451861562
8905,Ridge,Transverse, ,0.0171360347554496
8906,Ridge,Transverse, ,0.0228675891910152
8910,Ridge,Transverse, ,0.0212783328015147
8912,Ridge,Transverse, ,0.00946411492028124
8914,Ridge,Transverse, ,0.0122699118213664
8917,Ridge,Transverse, ,0.00555480756809613
8918,Ridge,Transverse, ,0.00477142686684906
8920,Ridge,Transverse, ,0.0173129011359867
8921,Ridge,Transverse, ,0.0168813203989647
8923,Ridge,Transverse, ,0.00943254189640449
8924,Ridge,Transverse, ,0.0113921781202055
8927,Ridge,Transverse, ,0.00598935588615612
8931,River Channel,Small,Not Buried,0.0534151298082937
8942,River Channel,Large,Not Buried,0.022661982023225
8943,Esker, , ,0.0160212939788151
8947,Ridge,Transverse, ,0.0144164629891816
8948,Ridge,Transverse, ,0.0152293562513788
8949,Ridge,Transverse, ,0.00693596781640875
8952,Ice Margin,Uncertain, ,0.0236666704136255
8954,Ice Margin,Known, ,0.142479341019097
8964,River Channel,Small,Not Buried,0.114140735365407
8966,Ridge,Compaction, ,0.0140272204513456
8967,Ridge,Compaction, ,0.0164692970029396
8969,Ridge,Compaction, ,0.0109405072568722
9925,Ridge,Transverse, ,0.0147733789369745
9926,Ridge,Transverse, ,0.0145250287950529
9929,Ridge,Transverse, ,0.0165352344107973
9931,Ridge,Transverse, ,0.00566711268426029
9932,Ridge,Transverse, ,0.0147822170901748
9933,Ridge,Transverse, ,0.0251338176367094
9934,Ridge,Transverse, ,0.00868235120999942
9937,Ridge,Transverse, ,0.0238416592056683
9939,Ridge,Transverse, ,0.0125231168062696
9940,Ridge,Transverse, ,0.0119818295004714
9942,Ridge,Transverse, ,0.0114605800195069
9945,Ridge,Transverse, ,0.00926029328094441
9948,Ridge,Transverse, ,0.0149247440146908
9949,Ridge,Transverse, ,0.00897249120028869
9952,Ridge,Transverse, ,0.0136940862383189
9955,Ridge,Transverse, ,0.0120468091040372
9957,Ridge,Transverse, ,0.0317561990459796
9960,Ridge,Transverse, ,0.0128115645055288
9962,Ridge,Transverse, ,0.0147084718836836
9964,Ridge,Transverse, ,0.0210353304243265
9972,Ridge,Transverse, ,0.0127948512155132
9976,Ridge,Transverse, ,0.0151417706714033
9986,Ridge,Transverse, ,0.00569651022275674
9988,Ridge,Transverse, ,0.0120625634896392
9993,Ridge,Transverse, ,0.0201328209237044
9998,Ridge,Transverse, ,0.0370037079231172
10000,Ridge,Transverse, ,0.0139810843447875
10003,Ridge,Transverse, ,0.0038151873522529
10005,Ridge,Transverse, ,0.0126773267017461
10011,Ridge,Transverse, ,0.00626589275004644
10015,Ridge,Transverse, ,0.0152628489987954
10019,Ridge,Transverse, ,0.0120564996122893
10026,Ridge,Transverse, ,0.0119725790462441
10027,Ridge,Transverse, ,0.0173592801587444
10030,Ridge,Transverse, ,0.00946010384044924
10033,Ridge,Transverse, ,0.00541328652941889
10036,Ridge,Transverse, ,0.0179570583017164
10038,Ridge,Transverse, ,0.0188388996701813
1084,Esker, , ,0.000929794979892342
1095,Ridge,Longitudinal, ,0.018640083580314
1097,Ridge,Longitudinal, ,0.0275832652288543
1101,Ridge,Longitudinal, ,0.0182858333634232
1107,Ridge,Longitudinal, ,0.0134017114029621
1110,Ridge,Longitudinal, ,0.0217001266825699
1111,Ridge,Longitudinal, ,0.0162073236115865
1114,Ridge,Longitudinal, ,0.0154177422958183
1119,Ridge,Longitudinal, ,0.0116698531735868
1129,Ridge,Longitudinal, ,0.0150894938460778
1141,Ridge,Longitudinal, ,0.02540903728491
1142,Ridge,Longitudinal, ,0.0220491719915304
1148,Ridge,Longitudinal, ,0.0251846810699198
1153,Ridge,Longitudinal, ,0.0209946956408514
1164,Ridge,Longitudinal, ,0.0243393966601738
1167,Ridge,Longitudinal, ,0.00163440805765574
1170,Ridge,Longitudinal, ,0.015724581008003
1171,Ridge,Longitudinal, ,0.00328834976548238
1172,Ridge,Longitudinal, ,0.0183456640573392
1179,Beach Ridge, , ,0.0764563976551824
1190,Esker, , ,0.0113617286069126
1191,Esker, , ,0.0116126460788351
1208,Beach Ridge, , ,0.0235957588881158
1221,Beach Ridge, , ,0.0389069881970467
1226,Beach Ridge, , ,0.0484526320121346
1273,Ridge,Compaction, ,0.0705717118230935
1277,Ridge,Compaction, ,0.00408507331761147
1278,Ridge,Compaction, ,0.00356327763960015
1292,Ridge,Transverse, ,0.00923769806493762
1297,Ridge,Transverse, ,0.0175944157980074
1302,Ridge,Transverse, ,0.0275890395690073
1304,Ridge,Transverse, ,0.0146477181708991
1315,Ridge,Transverse, ,0.0166622447959009
1344,Ridge,Transverse, ,0.0190870453435176
1349,Ridge,Transverse, ,0.0198530242404549
1366,Ridge,Transverse, ,0.00505744361672535
1370,Ridge,Transverse, ,0.0122192668528715
1376,Ridge,Transverse, ,0.0231203211850085
1397,Ridge,Transverse, ,0.00712827337334505
7815,Ridge,Transverse, ,0.0114377096700751
7819,Ridge,Transverse, ,0.00823095352924855
7820,Ridge,Transverse, ,0.015105269001418
7822,Ridge,Transverse, ,0.00484468761706108
7823,Ridge,Transverse, ,0.0200939048778029
7824,Ridge,Transverse, ,0.014594320275589
7826,Ridge,Transverse, ,0.0137136538006419
7827,Ridge,Transverse, ,0.0123335993911099
7828,Ridge,Transverse, ,0.0181339550996457
7831,Ridge,Transverse, ,0.0127087371104014
7834,Ridge,Transverse, ,0.0179275567874567
7835,Ridge,Transverse, ,0.00934240274993666
7836,Ridge,Transverse, ,0.00635281176889454
7837,Ridge,Transverse, ,0.0119500449868693
7838,Ridge,Transverse, ,0.00891160674930147
7840,Ridge,Transverse, ,0.023268660862788
7841,Ridge,Transverse, ,0.00439796403278108
7846,Ridge,Transverse, ,0.0141177225855458
7850,Ridge,Transverse, ,0.0188146452549662
7852,Ridge,Transverse, ,0.0116705650423495
7853,Ridge,Transverse, ,0.0113219207989188
7861,Ridge,Iceberg Marks, ,0.01043312413741
7866,Ridge,Longitudinal, ,0.0149477525528988
7869,River Channel,Small,Not Buried,0.0485509451063581
7876,Ridge,Longitudinal, ,0.0195616327094195
7879,Ridge,Transverse, ,0.0212504012305059
7880,Ridge,Transverse, ,0.0123734281920892
7881,Ridge,Transverse, ,0.0181658492235544
7883,Ridge,Transverse, ,0.019658388876767
7885,Ridge,Transverse, ,0.00938071014951964
7887,Ridge,Transverse, ,0.021446912910908
7890,Ridge,Transverse, ,0.0156202619215201
7894,Ridge,Transverse, ,0.0102735470576048
7897,Ridge,Transverse, ,0.0165044108729925
7898,Ridge,Transverse, ,0.00775642225943592
7900,Ridge,Transverse, ,0.00874830936332445
7904,Ridge,Transverse, ,0.0157872332097386
7908,Ridge,Transverse, ,0.0218493474113067
7914,Ridge,Transverse, ,0.0132498418278319
7915,Ridge,Transverse, ,0.0150418149857487
8973,River Channel,Small,Not Buried,0.000748299731926318
8974,River Channel,Small,Not Buried,0.0757939709229774
8977,River Channel,Small,Not Buried,0.0431045052549723
8979,River Channel,Small,Not Buried,0.00301658093402262
8984,Ridge,Compaction, ,0.00576225555973012
8986,Ridge,Compaction, ,0.00724711746215202
8987,Ridge,Compaction, ,0.00757620660219257
8988,Ridge,Compaction, ,0.0194961377848932
8989,River Channel,Small,Not Buried,0.0830802725547219
8990,Ridge,Compaction, ,0.00923424484232602
9000,Ridge,Longitudinal, ,0.0177609187072257
9002,Ridge,Longitudinal, ,0.0268708784008841
9003,Ridge,Longitudinal, ,0.0268855216941619
9007,Beach Ridge, , ,0.0343477561060932
9009,Beach Ridge, , ,0.107795913168793
9016,Ridge,Compaction, ,0.091135380729466
9017,Ridge,Iceberg Marks, ,0.0199589875279736
9020,Ridge,Transverse, ,0.0184437415629446
9021,Ridge,Transverse, ,0.0200477600537752
9026,Ridge,Transverse, ,0.0108203380845684
9029,Ridge,Transverse, ,0.0205626929020281
9031,Ridge,Transverse, ,0.0102337111664755
9034,Ridge,Transverse, ,0.0176784697506701
9037,Ridge,Transverse, ,0.0101114130123291
9041,Ridge,Transverse, ,0.0137620226312273
9043,Ridge,Transverse, ,0.0210416359243135
9047,Ridge,Transverse, ,0.0249092379649778
9049,Ridge,Transverse, ,0.018447636611726
8851,River Channel,Small,Not Buried,0.125518212804202
8856,Esker, , ,0.00944852386056378
8860,River Channel,Small,Not Buried,0.0579137401149576
10042,Ridge,Transverse, ,0.0140002045244251
10046,Ridge,Transverse, ,0.0128447573431635
9853,Ridge,Iceberg Marks, ,0.0151243270803573
9857,Ridge,Iceberg Marks, ,0.0379468258742414
9870,Ridge,Iceberg Marks, ,0.0301448023468511
9877,Ridge,Iceberg Marks, ,0.0137035583901861
9885,Ridge,Iceberg Marks, ,0.0182669893056901
9889,Ridge,Iceberg Marks, ,0.013199055408184
9891,Ridge,Iceberg Marks, ,0.011531311246902
9903,Ridge,Transverse, ,0.0179410539195731
9916,Ridge,Transverse, ,0.0192274415003622
9919,Ridge,Transverse, ,0.0162644291682329
9922,Ridge,Transverse, ,0.0149043312382727
9946,Ridge,Transverse, ,0.0140981864025265
9953,Ridge,Transverse, ,0.016074905043942
9959,Ridge,Transverse, ,0.0203584293801968
9963,Ridge,Transverse, ,0.0144895598007509
9967,Ridge,Transverse, ,0.0152060105273061
9981,Ridge,Transverse, ,0.0157256309536659
9994,Ridge,Transverse, ,0.0139306249428603
10001,Ridge,Transverse, ,0.00865033794024704
10010,Ridge,Transverse, ,0.0157354694702641
10024,Ridge,Transverse, ,0.0204891598987627
10029,Ridge,Transverse, ,0.00865778108417305
10035,Ridge,Transverse, ,0.039492026214745
10047,Ridge,Transverse, ,0.0145999273895434
10048,Ridge,Transverse, ,0.0156538107420539
10049,Ridge,Transverse, ,0.0146340551969576
10050,Ridge,Transverse, ,0.00818096987223991
10052,Ridge,Transverse, ,0.0275952256481135
10056,Ridge,Transverse, ,0.01125394257474
10058,Ridge,Transverse, ,0.0138632629621939
1410,Ridge,Transverse, ,0.0193803027988162
1423,Ridge,Transverse, ,0.0122876055531732
1425,Ridge,Transverse, ,0.0240299476088919
1428,Ridge,Transverse, ,0.0205235888600704
1433,Ridge,Transverse, ,0.0164612419394522
1439,Ridge,Transverse, ,0.0128959641615951
1452,Ridge,Transverse, ,0.0193437450191323
1464,Ridge,Transverse, ,0.0138598321764181
1469,Ridge,Transverse, ,0.0186913632052127
1471,Ridge,Transverse, ,0.0109721234804741
1473,Ridge,Transverse, ,0.048103372756382
1480,Ridge,Transverse, ,0.00895977038660375
1481,Ridge,Transverse, ,0.0217751787990293
1500,Ridge,Transverse, ,0.0226901047859437
1503,Ridge,Transverse, ,0.0182748728207685
1510,Ridge,Transverse, ,0.0308174810981717
1515,Ridge,Transverse, ,0.00953543526527788
1525,Ridge,Transverse, ,0.0156455285147773
1533,Ridge,Transverse, ,0.0103213526594102
1544,Ridge,Transverse, ,0.0156867458608393
1567,Ridge,Transverse, ,0.0122539038720219
1576,Ridge,Transverse, ,0.00963803180324697
1577,Ridge,Transverse, ,0.0115379928710403
1579,Ridge,Transverse, ,0.0118564753497509
1586,Ridge,Transverse, ,0.00582008004483323
1590,Ridge,Transverse, ,0.0129696356527679
1591,Ridge,Transverse, ,0.0151268646652471
1608,Ridge,Transverse, ,0.0127889382133721
1612,Ridge,Transverse, ,0.0113004284687097
972,Esker, , ,0.0392562914743467
982,Esker, , ,0.122772336113483
1196,Beach Ridge, , ,0.0499545365748506
1197,Beach Ridge, , ,0.0585041663751493
1209,Beach Ridge, , ,0.0710721725459892
1225,Beach Ridge, , ,0.0899529829019668
7918,Ridge,Transverse, ,0.0179641306874003
7920,Ridge,Transverse, ,0.011330503857484
7922,Ridge,Transverse, ,0.00699256072538612
7923,Ridge,Transverse, ,0.0206885218357858
7927,Ridge,Transverse, ,0.0222151456493449
7928,Ridge,Transverse, ,0.0115793870244419
7929,Beach Ridge, , ,0.0222487469759805
7935,River Channel,Small,Partly Buried,0.00141704772605865
7936,River Channel,Small,Partly Buried,0.0415924995987876
7943,Ridge,Longitudinal, ,0.000425059230312671
7945,River Channel,Small,Partly Buried,0.0492459453412246
7946,River Channel,Small,Partly Buried,0.0321106743540591
7947,Ridge,Longitudinal, ,0.00677631244171577
7952,Ridge,Longitudinal, ,0.032756056846402
7959,River Channel,Small,Not Buried,0.000326205682324818
7963,River Channel,Small,Not Buried,0.00778532710431803
7965,River Channel,Small,Not Buried,0.0088336550765697
7969,River Channel,Small,Not Buried,6.79217849736003e-005
7970,River Channel,Small,Not Buried,0.00101478707567647
7979,River Channel,Small,Not Buried,0.0646087218303103
7982,River Channel,Small,Not Buried,0.000180429876107035
7983,River Channel,Small,Not Buried,0.0113822320961799
7987,River Channel,Small,Not Buried,0.0158617487840852
7997,River Channel,Small,Not Buried,0.011078760494962
7998,River Channel,Small,Not Buried,0.018320123643675
8001,River Channel,Small,Not Buried,0.0532933062156702
8014,River Channel,Small,Not Buried,0.0490132116348558
8017,River Channel,Small,Not Buried,0.0110564473562436
8019,River Channel,Small,Not Buried,0.0341810359174242
8021,River Channel,Small,Not Buried,0.0806835778664658
8023,River Channel,Large,Partly Buried,0.0401770250392462
8861,River Channel,Small,Not Buried,0.126709502606606
8871,Esker, , ,0.0314401191387085
8926,Ridge,Transverse, ,0.0148657452479179
8928,Ice Margin,Known, ,0.1175495282808
8930,River Channel,Small,Not Buried,0.0933519703639834
8932,River Channel,Large,Not Buried,0.0556070542123883
8934,River Channel,Large,Not Buried,0.298960546251924
