X-ray Diffraction Data of the 50 nm,,,,,
n=1 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
4.6,42,97,91,67,31
4.64,59,61,132,82,64
4.68,55,69,81,88,81
4.72,58,68,68,102,63
4.76,56,79,148,77,45
4.8,32,76,238,77,52
4.84,50,55,288,83,56
4.88,52,47,172,95,59
4.92,56,64,396,62,47
4.96,58,73,1133,65,68n=5 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
5,33,49,2250,74,75
5.04,37,48,3009,107,52
5.08,60,40,2925,77,42
5.12,59,60,2088,65,35
5.16,52,49,1057,71,41
5.2,47,48,361,74,51
5.24,37,45,149,58,37
5.28,72,38,197,83,35
5.32,52,37,199,66,45
5.36,49,52,119,77,53
5.4,45,55,57,64,40
5.44,42,45,69,67,35
5.48,56,55,93,59,30
5.52,58,55,86,74,50
5.56,43,58,57,92,43
5.6,43,55,50,65,43
5.64,39,38,59,43,30
5.68,49,35,71,70,33
5.72,56,68,45,60,40
5.76,70,75,37,65,30
5.8,51,53,64,49,33
5.84,38,77,72,49,37
5.88,50,70,44,71,34
5.92,43,123,35,84,40
5.96,48,162,63,65,40n=6 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
6,43,129,62,58,35
6.04,41,121,61,69,41
6.08,54,297,38,88,36
6.12,44,759,37,65,36
6.16,57,1511,66,51,31
6.2,65,2138,30,66,39
6.24,56,2424,46,63,53
6.28,31,2135,38,51,33
6.32,39,1419,57,63,40
6.36,45,697,52,60,35
6.4,47,295,49,59,38
6.44,49,177,38,47,31
6.48,43,214,36,53,26
6.52,36,216,72,46,30
6.56,38,122,50,53,37
6.6,46,97,37,51,23
6.64,40,95,46,51,29
6.68,43,119,58,53,38
6.72,32,118,55,53,27
6.76,49,79,35,53,31
6.8,56,65,35,61,25
6.84,56,83,56,58,43
6.88,45,112,55,48,45
6.92,26,100,42,54,67
6.96,35,85,35,66,120n=7 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
7,49,57,43,54,171
7.04,41,73,48,61,172
7.08,43,115,47,50,113
7.12,32,84,27,51,80
7.16,40,73,46,53,33
7.2,36,58,47,61,51
7.24,35,67,49,37,54
7.28,50,98,33,50,52
7.32,44,89,32,56,33
7.36,43,49,42,45,46
7.4,35,51,41,67,35
7.44,44,59,35,48,49
7.48,45,80,41,51,38
7.52,38,75,47,76,37
7.56,43,69,39,51,37
7.6,44,50,41,52,30
7.64,49,65,26,40,36
7.68,41,79,36,57,26
7.72,44,63,42,63,39
7.76,43,74,51,74,44
7.8,38,54,33,56,23
7.84,32,62,36,53,36
7.88,28,62,43,101,20
7.92,47,79,30,95,31
7.96,54,72,41,115,40n=8 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
8,42,63,34,93,40
8.04,46,73,28,233,28
8.08,34,53,61,471,37
8.12,38,80,37,791,36
8.16,59,58,34,987,37
8.2,53,41,26,807,23
8.24,57,62,44,549,32
8.28,34,64,45,247,28
8.32,47,44,37,99,27
8.36,80,63,32,64,39
8.4,115,39,32,70,29
8.44,121,47,43,72,24
8.48,81,49,41,67,37
8.52,80,68,44,75,33
8.56,208,60,41,48,23
8.6,526,53,41,63,35
8.64,914,45,40,51,32
8.68,1325,50,41,57,49
8.72,1474,64,30,43,24
8.76,1284,59,35,53,44
8.8,915,45,36,45,25
8.84,546,57,38,49,33
8.88,235,42,40,42,21
8.92,129,52,29,53,34
8.96,96,58,36,59,28n=9 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
