OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214505,11201,59,Vacant Farm Unit,0
214506,11201,78,Gravel Pit,0
214507,11201,59,Vacant Farm Unit,0
214508,11201,42,Mine Shaft or Drift,0
214509,11201,37,Store or Small Business Establishment,0
214510,11201,42,Mine Shaft or Drift,0
214511,11201,42,Mine Shaft or Drift,0
214512,11201,42,Mine Shaft or Drift,0
214513,11301,58,Farm Unit,183
214514,11301,61,Vacant Dwelling other than Farm,182
214515,11301,60,Dwelling other than Farm,182
214516,11301,58,Farm Unit,271.08200597
214517,11301,59,Vacant Farm Unit,92
214518,11301,59,Vacant Farm Unit,182
214519,11301,58,Farm Unit,182
214520,11301,59,Vacant Farm Unit,0
214521,11301,58,Farm Unit,272
214522,11301,58,Farm Unit,272
214523,11301,58,Farm Unit,0
214524,11301,78,Gravel Pit,0
214525,11302,106,Power Substation,2
214526,11302,106,Power Substation,182
214527,11302,59,Vacant Farm Unit,272
214528,11302,58,Farm Unit,299.32332572
214529,11302,59,Farm Unit,2
214530,11302,58,Farm Unit,0
214531,11302,58,Farm Unit,182
214532,11302,58,Farm Unit,182
214533,11302,58,Farm Unit,0
214534,11302,58,Farm Unit,182
214535,11302,58,Farm Unit,92
214536,11302,59,Vacant Farm Unit,0
214537,11302,59,Vacant Farm Unit,2
214538,11302,58,Farm Unit,272
214539,11302,59,Vacant Farm Unit,272
214540,11302,78,Gravel Pit,0
214541,11302,78,Gravel Pit,0
214542,11302,78,Gravel Pit,0
214543,11302,78,Gravel Pit,0
214544,11302,78,Gravel Pit,0
214545,11302,78,Gravel Pit,0
214546,11302,78,Gravel Pit,0
214547,11302,78,Gravel Pit,0
214548,11302,78,Gravel Pit,0
214549,11302,78,Gravel Pit,0
214550,11302,78,Gravel Pit,0
214551,11302,129,Minor Drainage Structure,8.34680281
214552,11302,113,Asterisk,0
214553,11302,113,Asterisk,0
214554,11302,113,Asterisk,0
214555,11302,113,Asterisk,0
214556,11302,113,Asterisk,0
214557,11302,113,Asterisk,0
214558,11302,113,Asterisk,0
214559,11302,113,Asterisk,0
214560,11302,113,Asterisk,0
214561,21307,6,County Seat,0
214562,21305,58,Farm Unit,0
214563,11302,113,Asterisk,0
214564,11302,245,Butte,0
214565,11302,113,Asterisk,0
214566,11302,58,Farm Unit,92
214567,11302,130,""Highway Bridge, General"",2
214568,11302,245,Butte,0
214569,11302,245,Butte,0
214570,11302,130,Minor Drainage Structure,2.2867877
214571,11301,245,Butte,0
214572,11301,245,Butte,0
214573,11301,245,Butte,0
214574,11301,245,Butte,0
214575,11301,245,Butte,0
214576,11302,113,Asterisk,0
214577,11302,113,Asterisk,0
214578,11302,113,Asterisk,0
214579,11301,113,Asterisk,0
214580,11301,60,Dwelling other than Farm,24.07494007
214581,11301,65,Seasonal or Summer Dwelling,0
214582,11301,58,Farm Unit,272
214583,11301,59,Vacant Farm Unit,12.37827179
214584,11302,142,Oil Tank,0
214585,11302,110,Micro-Wave or Radio Tower,0
214586,11302,59,Vacant Farm Unit,182
214587,11301,59,Farm Unit,272
214588,11302,110,Micro-Wave or Radio Tower,92
214589,11302,113,Asterisk,0
214590,11302,113,Asterisk,0
214591,11302,113,Asterisk,0
214592,11302,130,Minor Drainage Structure,2.02548988
214593,11302,113,Asterisk,0
214594,11302,113,Asterisk,182.17000000000002
214595,11302,130,Minor Drainage Structure,2.93337996
214596,11301,58,Farm Unit,2.45132584
214597,11401,78,Gravel Pit,0
214598,11401,78,Railroad Bridge,43.1467525
214599,11401,78,Gravel Pit,0
214600,11401,58,Farm Unit,0
214601,11401,58,Farm Unit,0
214602,11401,86,""Vacant Townhall, Grange, or Community Hall"",0
214603,11401,113,Asterisk,0
214604,11401,113,Asterisk,0
214605,11401,58,Farm Unit,0
214606,21401,60,Dwelling other than Farm,0
214607,21401,61,Vacant Dwelling other than Farm,0
214608,11401,130,Minor Drainage Structure,0
214609,11401,58,Farm Unit,0
214610,0,59,Vacant Farm Unit,0
214611,11401,35,""Toll House, State Port of Entry, or Weigh Station"",0
214612,11401,78,Gravel Pit,0
214613,11401,245,Butte,0
214614,21401,37,Store or Small Business Establishment,0
214615,11401,78,Gravel Pit,0
214616,11501,58,Farm Unit,0
214617,11501,12,Campsite (no permanence),0
214618,11501,58,Farm Unit,0
214619,11501,12,Campsite (no permanence),0
214620,11501,29,""Cemetery, North & South"",1
214621,11501,58,Farm Unit,0
214622,11501,78,Gravel Pit,0
214623,11501,78,Gravel Pit,0
214624,11501,78,Gravel Pit,0
214625,11501,58,Farm Unit,0
214626,11501,59,Vacant Farm Unit,0
214627,11501,78,Gravel Pit,0
214628,11501,78,Gravel Pit,0
214629,11501,78,Gravel Pit,0
214630,11501,59,Vacant Farm Unit,0
214631,11501,58,Farm Unit,0
214632,11501,58,Farm Unit,0
214633,11502,78,Gravel Pit,0
214634,11502,60,Dwelling other than Farm,0
214635,11502,34,Well,0
214636,11502,58,Farm Unit,0
214637,11502,59,Vacant Farm Unit,0
214638,11502,29,""Cemetery, North & South"",1
214639,11502,58,Farm Unit,181
214640,11502,58,Farm Unit,0
214641,11502,59,Vacant Farm Unit,0
214378,10902,60,Dwelling other than Farm,0
214379,10902,60,Dwelling other than Farm,0
214380,10902,60,Store or Small Business Establishment,0
214381,10902,60,Dwelling other than Farm,0
214382,10902,60,Dwelling other than Farm,0
214383,10902,37,Store or Small Business Establishment,0
214384,10901,59,Vacant Farm Unit,0
214385,10902,60,Dwelling other than Farm,0
214386,10902,58,Farm Unit,90
214387,10902,29,""Cemetery, North & South"",0
214388,10902,58,Farm Unit,0
214389,10902,29,""Cemetery, North & South"",0
214390,10901,7,Small City Center,0
214391,10902,6,County Seat,0
214392,10902,7,Small City Center,0
214393,0,143,4 Lane Bridge,0
214394,10901,80,Schoolhouse,0
214395,10901,54,""Playground, Ball Field"",0
214396,10901,103,Sewage Disposal Plant,0
214397,10901,103,Sewage Disposal Plant,360
214398,10901,7,Small City Center,0
214399,10902,37,Farm Unit,0
214400,10902,60,Rows or groups of dwellings closely spaced,269.00873884
214401,10901,7,Small City Center,0
214402,10902,60,Dwelling other than Farm,0
214403,10902,129,""Highway Bridge, General"",0
214404,11001,58,Farm Unit,0
214405,11001,78,Gravel Pit,0
214406,11002,78,Gravel Pit,0
214407,21005,60,Dwelling other than Farm,270
214408,21008,37,Store or Small Business Establishment,0
214409,11001,29,""Cemetery, North & South"",0
214410,11001,113,Asterisk,0
214411,11001,58,Farm Unit,0
214412,11001,113,Asterisk,0
214413,11001,58,Farm Unit,0
214414,11001,28,""Cemetery, East & West"",0
214415,11001,130,Minor Drainage Structure,0
214416,11002,130,Minor Drainage Structure,0
214417,11001,59,Vacant Farm Unit,0
214418,11001,58,Farm Unit,0
214419,11001,58,Farm Unit,0
214420,11001,60,Dwelling other than Farm,0
214421,30174,240,railway crossing,0
214422,30174,240,railway crossing,0
214423,31158,135,Railroad Station,0
214424,31158,240,railway crossing,0
214425,34478,240,railway crossing,0
214426,35574,240,railway crossing,0
214427,35574,240,railway crossing,0
214428,11001,60,Dwelling other than Farm,0
214429,11101,58,Farm Unit,180
214430,11101,79,Monument - Small Historic Site,0
214431,11101,59,Vacant Farm Unit,0
214432,11101,110,Micro-Wave or Radio Tower,0
214433,11101,110,Micro-Wave or Radio Tower,0
214434,11101,58,Farm Unit,0
214435,11101,78,Gravel Pit,0
214436,21101,58,Farm Unit,0
214437,11101,59,Vacant Farm Unit,180
214438,11101,78,Gravel Pit,0
214439,11101,8,Picnic Ground,0
214440,11101,7,Small City Center,0
214441,11101,60,Dwelling other than Farm,0
214442,11101,248,Wind Turbine,0
214443,11101,248,Wind Turbine,0
214444,11101,248,Wind Turbine,0
214445,11101,248,Wind Turbine,0
214446,11101,248,Wind Turbine,0
214447,11101,248,Wind Turbine,0
214448,11101,248,Wind Turbine,0
214449,11101,248,Wind Turbine,0
214450,11101,248,Wind Turbine,0
214451,11101,248,Wind Turbine,0
214452,11101,248,Wind Turbine,0
214453,11101,248,Wind Turbine,0
