Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
1,55A,558,NA,1903.177,NA,89.01098901,
1,55A,559,NA,1909.965,NA,89.72972973,
1,55A,560,NA,1916.752,NA,90.16393443,
1,55A,561,NA,1923.54,NA,89.77777778,
1,55A,562,NA,1930.327,NA,89.96282528,
1,55A,566,NA,1957.477,NA,90.49429658,
1,55A,570,NA,1984.627,NA,89.02439024,
1,55A,574,NA,2011.777,NA,91.73553719,
1,55A,578,NA,2038.927,NA,91.66666667,
1,55A,582,NA,2066.078,NA,89.54545455,
1,55A,586,NA,2093.228,NA,84.10041841,
1,55A,612,NA,2366.251,NA,87.1559633,
1,55A,616,NA,2410.205,NA,91.30434783,
1,55A,620,NA,2451.72,NA,90.73170732,
1,55A,624,NA,2499.628,NA,90.56603774,
1,55A,628,NA,2547.536,NA,94.97206704,
1,55A,632,NA,2595.443,NA,94.91525424,
1,55A,636,NA,2643.351,NA,96.34146341,
1,55A,640,NA,2691.259,NA,94.28571429,
1,55A,644,NA,2739.167,NA,94.68085106,
1,55A,648,NA,2787.075,NA,92.44186047,
1,55A,652,NA,2834.983,NA,94.31818182,
1,55A,656,NA,2882.891,NA,92.69662921,
1,55A,660,NA,2930.799,NA,93.10344828,
1,55A,664,NA,2978.706,NA,91.58415842,
1,55A,668,NA,3027.732,NA,88.02083333,
1,55A,672,NA,3079.55,NA,89.80582524,
1,55A,676,NA,3127.767,NA,88.20224719,
1,55A,680,NA,3175.025,NA,88.58695652,
1,55A,684,NA,3223.229,NA,87.62886598,
1,55A,688,NA,3272.318,NA,86.80203046,
1,55A,692,NA,3321.407,NA,86.12440191,
1,55A,696,NA,3370.497,NA,83.88625592,
1,55A,700,NA,3419.586,NA,83.64485981,
1,55A,710,NA,3542.309,NA,84.68899522,
1,55A,714,NA,3591.398,NA,79.7235023,
1,55A,718,NA,3640.487,NA,78.94736842,
1,55A,722,NA,3689.577,NA,77.77777778,
1,55A,726,NA,3738.666,NA,76.77165354,
1,55A,730,NA,3787.755,NA,86.25592417,
1,55A,734,NA,3836.844,NA,85.13513514,
1,55A,738,NA,3885.934,NA,87.6146789,
1,55A,742,NA,3935.023,NA,86.22222222,
1,55A,746,NA,3984.112,NA,84.47488584,
1,55A,750,NA,4033.201,NA,83.18584071,
1,55A,754,NA,4082.291,NA,80.16528926,
1,55A,758,NA,4131.38,NA,84.03361345,
1,55A,762,NA,4181.615,NA,79.49790795,
1,55A,766,NA,4227.88,NA,82.12765957,
1,55A,770,NA,4274.56,NA,80,
1,55A,774,NA,4321.985,NA,79.66101695,
1,55A,778,NA,4369.41,NA,75.30364372,
1,55A,782,NA,4416.835,NA,79.57446809,
1,55A,786,NA,4464.26,NA,81.25,
1,55A,790,NA,4511.685,NA,79.33884298,
1,55A,794,NA,4559.11,NA,75.59055118,
1,55A,798,NA,4606.535,NA,76.77165354,
1,55A,802,NA,4653.96,NA,73.046875,
1,55A,810,NA,4748.81,NA,73.57723577,
1,55A,814,NA,4796.235,NA,57.65472313,
1,55A,818,NA,4843.66,NA,74.69387755,
1,55A,822,NA,4891.085,NA,73.06122449,
1,55A,826,NA,4938.51,NA,69.23076923,
1,55A,830,NA,4984.798,NA,64.89361702,
1,55A,834,NA,5032.82,NA,73.68421053,
1,55A,838,NA,5130.927,NA,72.33201581,
1,55A,842,NA,5242.011,NA,68.23104693,
1,55A,846,NA,5353.096,NA,73.84615385,
1,55A,850,NA,5425.592,NA,72.83464567,
1,55A,854,NA,5477.298,NA,75.69721116,
1,55A,858,NA,5529.005,NA,53.31491713,
1,55A,862,NA,5577.831,NA,77.77777778,
1,55A,866,NA,5623.954,NA,78.42323651,
1,55A,870,NA,5670.078,NA,66.66666667,
1,55A,874,NA,5716.201,NA,73.4082397,
1,55A,878,NA,5762.325,NA,70.71428571,
1,55A,882,NA,5808.448,NA,78.6259542,
1,55A,886,NA,5854.572,NA,77.73279352,
1,55A,890,NA,5900.695,NA,76.8907563,
1,55A,894,NA,5946.819,NA,75.94936709,
1,55A,898,NA,5992.942,NA,74.89361702,
1,55A,902,NA,6039.066,NA,74.3083004,
1,55A,906,NA,6085.189,NA,70.30075188,
1,55A,918,NA,6223.56,NA,74.59016393,
1,55A,922,NA,6269.683,NA,75.3968254,
1,55A,926,NA,6315.807,NA,70.58823529,
1,55A,930,NA,6361.93,NA,73.37398374,
1,55A,934,NA,6408.054,NA,67.47404844,
1,55A,938,NA,6454.177,NA,70.96774194,
1,55A,942,NA,6500.301,NA,72.48062016,
1,55A,946,NA,6546.424,NA,70.28985507,
1,55A,950,NA,6592.548,NA,65.65656566,
1,55A,954,NA,6638.671,NA,63.27868852,
1,55A,958,NA,6684.795,NA,67.65676568,
1,55A,962,NA,6737.131,NA,68.47133758,
1,55A,966,NA,6800.451,NA,68.61313869,
1,55A,970,NA,6862.518,NA,67.79661017,
1,55A,974,NA,6925.687,NA,68.42105263,
1,55A,978,NA,6988.855,NA,67.003367,
1,55A,982,NA,7052.024,NA,65.86206897,
1,55A,986,NA,7115.193,NA,65.10067114,
1,55A,990,NA,7178.362,NA,65.3125,
1,55A,994,NA,7241.531,NA,66.4652568,
1,55A,998,NA,7304.699,NA,66.01671309,
1,55A,1002,NA,7367.868,NA,66.38176638,
1,55A,1006,NA,7431.037,NA,66.56534954,
1,55A,1009,NA,7478.414,NA,65.53672316,
1,55A,1020,NA,7652.128,NA,69.68641115,
1,55A,1024,NA,7715.297,NA,69.44444444,
1,55A,1028,NA,7778.466,NA,67.69230769,
1,55A,1032,NA,7841.634,NA,66.08187135,
1,55A,1036,NA,7899.234,NA,58.64864865,
1,55A,1040,NA,7956.204,NA,58.91891892,
1,55A,1044,NA,8014.074,NA,48.41628959,
1,55A,1048,NA,8074.188,NA,49.89200864,
1,55A,1052,NA,8135.606,NA,54.40180587,
1,55A,1056,NA,8205.945,NA,44.90196078,
1,55A,1060,NA,8282.939,NA,47.28682171,
1,55A,1064,NA,8370.366,NA,45.2690167,
1,55A,1068,NA,8458.411,NA,48.16247582,
1,55A,1072,NA,8546.456,NA,51.83585313,
1,55A,1076,NA,8634.502,NA,48.86128364,
1,55A,1080,NA,8722.547,NA,45.64831261,
1,55A,1084,NA,8810.592,NA,43.80952381,
1,55A,1088,NA,8898.638,NA,40.35874439,
1,55A,1092,NA,8986.683,NA,37.71676301,
1,55A,1096,NA,9074.728,NA,32.02185792,
1,55A,1100,NA,9162.774,NA,34.27866831,
1,55A,1104,NA,9250.819,NA,29.65738758,
1,55A,1108,NA,9338.864,NA,28.54209446,
1,55A,1110,NA,9382.887,NA,33.63636364,
1,55A,1112,NA,9426.91,NA,34.03141361,
1,55A,1114,NA,9470.932,NA,36.08247423,
1,55A,1116,NA,9514.955,NA,25.65055762,
1,55A,1118,NA,9558.978,NA,26.93877551,
