ID,Created_EST,Transport_Arrival_EST,Exit_EST
280,1/3/2013 0:09,1/3/2013 0:59,1/3/2013 1:37
281,1/3/2013 0:21,,1/3/2013 0:37
282,1/3/2013 0:28,1/3/2013 1:08,1/3/2013 1:32
283,1/3/2013 0:38,1/3/2013 1:09,1/3/2013 1:39
284,1/3/2013 0:41,1/3/2013 1:18,1/3/2013 1:59
285,1/3/2013 0:44,1/3/2013 1:20,1/3/2013 1:36
286,1/3/2013 0:53,1/3/2013 1:20,1/3/2013 1:46
287,1/3/2013 0:56,,1/3/2013 0:57
288,1/3/2013 0:56,1/3/2013 1:15,1/3/2013 1:34
289,1/3/2013 1:12,,1/3/2013 1:14
290,1/3/2013 1:13,1/3/2013 1:29,1/3/2013 1:44
291,1/3/2013 1:15,1/3/2013 1:57,1/3/2013 2:17
292,1/3/2013 1:28,1/3/2013 2:14,1/3/2013 2:29
293,1/3/2013 1:37,1/3/2013 2:30,1/3/2013 2:42
294,1/3/2013 1:44,1/3/2013 2:54,1/3/2013 3:19
295,1/3/2013 1:52,1/3/2013 2:31,1/3/2013 2:58
296,1/3/2013 1:56,1/3/2013 2:30,1/3/2013 2:48
297,1/3/2013 2:03,,1/3/2013 2:31
298,1/3/2013 2:04,1/3/2013 2:41,1/3/2013 2:59
299,1/3/2013 2:07,1/3/2013 2:44,1/3/2013 3:15
300,1/3/2013 2:08,,1/3/2013 2:44
301,1/3/2013 2:18,1/3/2013 2:46,1/3/2013 3:09
302,1/3/2013 2:55,1/3/2013 3:43,1/3/2013 4:35
303,1/3/2013 3:25,,1/3/2013 5:02
304,1/3/2013 3:28,,1/3/2013 3:30
305,1/3/2013 3:31,,1/3/2013 3:33
306,1/3/2013 3:34,1/3/2013 4:20,1/3/2013 5:36
307,1/3/2013 3:36,,1/3/2013 3:37
308,1/3/2013 3:37,1/3/2013 4:13,1/3/2013 4:30
309,1/3/2013 3:38,1/3/2013 4:10,1/3/2013 4:43
310,1/3/2013 3:43,1/3/2013 4:15,1/3/2013 4:47
311,1/3/2013 3:55,,1/3/2013 3:56
312,1/3/2013 4:14,,1/3/2013 4:22
313,1/3/2013 4:24,1/3/2013 4:54,1/3/2013 5:27
314,1/3/2013 4:36,1/3/2013 4:59,1/3/2013 5:44
315,1/3/2013 4:45,,1/3/2013 4:51
316,1/3/2013 5:02,,1/3/2013 6:35
317,1/3/2013 5:12,1/3/2013 5:49,1/3/2013 6:13
318,1/3/2013 5:16,1/3/2013 5:56,1/3/2013 6:36
319,1/3/2013 5:21,1/3/2013 5:54,1/3/2013 6:16
320,1/3/2013 5:21,1/3/2013 5:58,1/3/2013 6:23
321,1/3/2013 5:27,1/3/2013 6:04,1/3/2013 6:46
322,1/3/2013 5:37,1/3/2013 6:49,1/3/2013 7:07
323,1/3/2013 5:55,,1/3/2013 5:58
324,1/3/2013 6:17,1/3/2013 6:49,1/3/2013 7:31
325,1/3/2013 6:30,,1/3/2013 7:38
326,1/3/2013 6:37,1/3/2013 7:01,1/3/2013 7:24
327,1/3/2013 7:04,1/3/2013 7:50,1/3/2013 8:18
328,1/3/2013 7:07,1/3/2013 7:51,1/3/2013 8:24
329,1/3/2013 7:20,,1/3/2013 8:33
330,1/3/2013 7:26,,1/3/2013 8:16
331,1/3/2013 7:28,1/3/2013 8:02,1/3/2013 8:35
332,1/3/2013 7:42,1/3/2013 8:35,1/3/2013 8:54
333,1/3/2013 7:44,1/3/2013 8:20,1/3/2013 8:36
334,1/3/2013 8:04,1/3/2013 9:13,1/3/2013 9:39
335,1/3/2013 8:13,1/3/2013 8:47,1/3/2013 9:39
336,1/3/2013 8:37,1/3/2013 9:04,1/3/2013 9:20
337,1/3/2013 8:54,1/3/2013 9:19,1/3/2013 9:41
338,1/3/2013 8:58,1/3/2013 9:33,1/3/2013 9:51
339,1/3/2013 9:02,1/3/2013 9:49,1/3/2013 10:08
340,1/3/2013 9:03,1/3/2013 9:35,1/3/2013 9:53
341,1/3/2013 9:04,1/3/2013 9:57,1/3/2013 10:33
342,1/3/2013 9:08,,1/3/2013 9:19
343,1/3/2013 9:16,1/3/2013 9:54,1/3/2013 10:49
344,1/3/2013 9:22,1/3/2013 9:58,1/3/2013 10:25
345,1/3/2013 9:22,1/3/2013 9:58,1/3/2013 10:19
346,1/3/2013 9:22,,1/3/2013 10:35
347,1/3/2013 9:32,1/3/2013 10:14,1/3/2013 11:03
348,1/3/2013 9:33,,1/3/2013 9:39
349,1/3/2013 9:34,,1/3/2013 9:37
350,1/3/2013 9:39,1/3/2013 10:13,1/3/2013 10:40
351,1/3/2013 9:39,,1/3/2013 11:10
352,1/3/2013 9:40,,1/3/2013 9:49
353,1/3/2013 9:54,1/3/2013 10:33,1/3/2013 11:09
354,1/3/2013 9:55,1/3/2013 10:43,1/3/2013 11:18
355,1/3/2013 10:01,,1/3/2013 11:42
356,1/3/2013 10:02,1/3/2013 10:59,1/3/2013 11:29
357,1/3/2013 10:04,1/3/2013 10:44,1/3/2013 10:58
358,1/3/2013 10:18,1/3/2013 10:45,1/3/2013 11:32
359,1/3/2013 10:21,1/3/2013 10:51,1/3/2013 11:22
360,1/3/2013 10:24,1/3/2013 11:01,1/3/2013 11:15
361,1/3/2013 10:31,1/3/2013 11:03,1/3/2013 11:30
362,1/3/2013 10:36,1/3/2013 11:07,1/3/2013 11:49
363,1/3/2013 10:37,1/3/2013 11:36,1/3/2013 12:10
364,1/3/2013 10:40,,1/3/2013 11:45
365,1/3/2013 10:43,1/3/2013 11:15,1/3/2013 12:25
366,1/3/2013 10:50,1/3/2013 11:34,1/3/2013 12:07
367,1/3/2013 10:50,1/3/2013 11:29,1/3/2013 11:57
368,1/3/2013 10:50,,1/3/2013 10:55
369,1/3/2013 10:51,,1/3/2013 10:54
370,1/3/2013 11:05,1/3/2013 11:44,1/3/2013 12:11
371,1/3/2013 11:05,1/3/2013 11:58,1/3/2013 12:27
372,1/3/2013 11:07,1/3/2013 11:35,1/3/2013 11:55
373,1/3/2013 11:08,,1/3/2013 11:14
374,1/3/2013 11:09,1/3/2013 11:57,1/3/2013 12:20
375,1/3/2013 11:14,1/3/2013 12:06,1/3/2013 12:39
376,1/3/2013 11:16,,1/3/2013 11:17
377,1/3/2013 11:22,1/3/2013 12:16,1/3/2013 12:52
378,1/3/2013 11:24,1/3/2013 12:14,1/3/2013 13:11
379,1/3/2013 11:25,1/3/2013 12:28,1/3/2013 13:04
380,1/3/2013 11:26,,1/3/2013 11:32
381,1/3/2013 11:27,1/3/2013 12:22,1/3/2013 12:54
382,1/3/2013 11:37,,1/3/2013 12:13
383,1/3/2013 11:47,1/3/2013 12:33,1/3/2013 13:35
384,1/3/2013 11:50,1/3/2013 12:39,1/3/2013 13:11
385,1/3/2013 11:55,1/3/2013 12:31,1/3/2013 13:17
386,1/3/2013 12:00,1/3/2013 12:22,1/3/2013 12:52
387,1/3/2013 12:04,1/3/2013 12:53,1/3/2013 13:26
388,1/3/2013 12:09,,1/3/2013 12:18
389,1/3/2013 12:14,1/3/2013 13:26,1/3/2013 13:59
390,1/3/2013 12:14,1/3/2013 13:03,1/3/2013 13:51
391,1/3/2013 12:14,1/3/2013 12:59,1/3/2013 13:13
392,1/3/2013 12:16,1/3/2013 13:10,1/3/2013 13:46
393,1/3/2013 12:20,1/3/2013 12:57,1/3/2013 13:34
394,1/3/2013 12:23,,1/3/2013 13:39
395,1/3/2013 12:34,1/3/2013 13:42,1/3/2013 14:35
396,1/3/2013 12:37,1/3/2013 13:25,1/3/2013 14:11
397,1/3/2013 12:43,,1/3/2013 12:47
398,1/3/2013 12:47,1/3/2013 13:29,1/3/2013 13:54
399,1/3/2013 12:57,1/3/2013 13:27,1/3/2013 13:58
400,1/3/2013 13:07,1/3/2013 13:46,1/3/2013 14:11
401,1/3/2013 13:11,,1/3/2013 15:33
402,1/3/2013 13:12,1/3/2013 13:37,1/3/2013 14:08
403,1/3/2013 13:16,1/3/2013 13:52,1/3/2013 14:09
404,1/3/2013 13:17,1/3/2013 13:56,1/3/2013 14:20
405,1/3/2013 13:22,1/3/2013 13:59,1/3/2013 14:42
406,1/3/2013 13:27,1/3/2013 14:01,1/3/2013 14:39
407,1/3/2013 13:29,,1/3/2013 13:40
408,1/3/2013 13:32,,1/3/2013 13:33
409,1/3/2013 13:35,1/3/2013 14:12,1/3/2013 14:33
410,1/3/2013 13:37,,1/3/2013 14:40
411,1/3/2013 13:41,1/3/2013 14:16,1/3/2013 14:39
412,1/3/2013 13:43,,1/3/2013 14:18
413,1/3/2013 13:47,1/3/2013 14:28,1/3/2013 14:56
414,1/3/2013 13:49,,1/3/2013 13:51
415,1/3/2013 13:52,1/3/2013 14:45,1/3/2013 15:26
416,1/3/2013 13:53,,1/3/2013 13:54
417,1/3/2013 13:57,1/3/2013 14:11,1/3/2013 15:05
418,1/3/2013 13:58,,1/3/2013 14:28
419,1/3/2013 13:59,,1/3/2013 15:49
420,1/3/2013 14:03,1/3/2013 15:03,1/3/2013 15:27
421,1/3/2013 14:04,1/3/2013 14:40,1/3/2013 15:16
422,1/3/2013 14:12,1/3/2013 14:35,1/3/2013 15:02
423,1/3/2013 14:17,1/3/2013 14:47,1/3/2013 15:17
424,1/3/2013 14:19,1/3/2013 15:03,1/3/2013 15:42
425,1/3/2013 14:20,1/3/2013 15:28,1/3/2013 16:22
426,1/3/2013 14:25,1/3/2013 15:12,1/3/2013 15:41
427,1/3/2013 14:25,,1/3/2013 14:31
