# From 24/9/2003 to 31/10/2003
# And 12:00 to 18:00
# Executed at Jun 11, 2011 4:05:33 PM
# Using 100x100
# Desired K: 10
# 
# Format: 
# 	Time start, Time end, Regions
# Region Format:
# 	unique users | reading count | area > <Next Region>
# 
# Total Region Count:
# 8828
############

1067199300000,1067200200000,41|105|737>37|142|1026>35|76|1562>30|48|1561>29|95|1027>26|46|525>25|114|2490>11|49|1072
1067200200000,1067201100000,9|48|1179>49|116|737>43|217|919>35|68|1562>34|133|2490>30|54|1561>27|128|1027>23|48|525
1067201100000,1067202000000,49|99|737>46|144|1027>40|129|1562>38|159|919>38|123|2490>27|46|1561>20|32|525>16|51|1179
1067202000000,1067202900000,53|144|737>41|99|1562>40|149|1027>38|91|919>34|155|2490>33|54|1561>23|64|525>15|83|1179
1067202900000,1067203800000,51|131|737>50|274|919>42|114|1562>38|157|1027>31|99|2490>30|53|1561>23|81|525>14|80|1179
1067203800000,1067204700000,43|126|2490>41|118|737>40|134|919>35|94|1562>28|102|1027>27|38|1561>18|48|525>18|45|1179
1067204700000,1067205600000,51|107|737>42|104|919>38|114|1562>32|105|2490>31|54|1561>29|104|1027>22|31|525>15|77|1179
1067205600000,1067206500000,42|59|1561>41|64|737>41|119|1562>40|127|1027>38|104|919>29|115|2490>21|39|525>11|37|1179
1067206500000,1067207400000,50|118|737>48|137|919>43|170|1562>37|144|1027>30|54|1561>24|102|2490>24|64|525>14|52|1179
1067207400000,1067208300000,51|128|2490>46|184|919>42|103|737>42|185|1562>35|51|1561>29|118|1027>20|73|525>18|62|1179
1067208300000,1067209200000,47|149|919>44|187|1562>44|149|1027>39|73|1561>38|81|737>33|118|2490>20|67|525>17|88|1179
1067209200000,1067210100000,51|174|919>47|112|737>46|190|1027>35|64|1561>34|100|2490>31|149|1562>15|45|525>14|74|1179
1067274900000,1067275800000,73|141|263>57|173|1562>43|172|919>41|150|737>40|130|1027>29|51|1561>17|66|2490>12|55|1179>0|0|262
1067275800000,1067276700000,73|229|1561>70|190|369>68|99|781>51|151|1027>50|239|919>40|72|262>20|68|2490>14|40|1179>11|22|263>0|0|1>0|0|368>0|0|780
1067276700000,1067277600000,0|0|1149>0|0|1562>54|135|1027>51|102|780>47|211|919>40|71|369>39|79|262>24|72|2490>23|85|1179>14|21|263
1067277600000,1067278500000,7|11|1493>58|86|262>47|225|919>45|153|1218>32|100|1027>31|49|369>27|56|780>17|65|1179>17|25|263>16|54|2490
1067278500000,1067279400000,109|174|138>64|186|460>64|155|1122>42|87|369>35|116|1027>31|69|780>27|83|2490>22|50|1493>18|64|1179>15|25|263>0|0|87>0|0|37>0|0|459>0|0|96
1067279400000,1067280300000,0|0|175>77|138|44>42|112|369>40|62|1122>36|134|460>35|56|263>33|86|1027>28|56|780>26|81|2490>23|80|459>16|41|1493>16|142|96>14|51|1179>0|0|43
1067280300000,1067281200000,2|2|544>71|139|390>67|132|992>43|131|460>42|65|44>35|111|459>34|69|1122>31|66|2490>26|39|263>26|35|43>24|57|1493>20|140|96>19|70|1179>0|0|390>0|0|35
1067281200000,1067282100000,0|0|1027>52|159|544>50|123|460>39|105|2490>38|84|390>34|59|44>33|67|1122>26|69|390>26|97|459>23|33|43>22|38|263>18|123|96>18|45|1179>13|34|1493
1067282100000,1067283000000,45|162|1027>44|157|544>42|136|460>35|88|44>35|62|1122>34|155|2490>29|46|263>26|89|96>24|34|390>24|157|459>23|86|390>18|24|43>17|25|1493>14|29|1179
