"country","year","value","climate_model","scenario","variable"
"BGD",1962,"gfdl","historic","precipitation"
"BGD",1963,"gfdl","historic","precipitation"
"BGD",1964,"gfdl","historic","precipitation"
"BGD",1965,"gfdl","historic","precipitation"
"BGD",1966,"gfdl","historic","precipitation"
"BGD",1967,"gfdl","historic","precipitation"
"BGD",1968,"gfdl","historic","precipitation"
"BGD",1969,"gfdl","historic","precipitation"
"BGD",1970,"gfdl","historic","precipitation"
"BGR",1961,62.0302191791946,"gfdl","historic","precipitation"
"BGR",1962,35.2994336261292,"gfdl","historic","precipitation"
"BGR",1963,46.7413238223689,"gfdl","historic","precipitation"
"BGR",1964,31.8794111198108,"gfdl","historic","precipitation"
"BGR",1965,73.1453205946529,"gfdl","historic","precipitation"
"BGR",1966,64.4978668734215,"gfdl","historic","precipitation"
"BGR",1967,53.0830746061804,"gfdl","historic","precipitation"
"BGR",1968,93.9792450295421,"gfdl","historic","precipitation"
"BGR",1969,31.7825445025046,"gfdl","historic","precipitation"
"BGR",1970,43.6538215205388,"gfdl","historic","precipitation"
"BIH",1961,84.3083104167776,"gfdl","historic","precipitation"
"BIH",1962,43.3497878265879,"gfdl","historic","precipitation"
"BIH",1963,57.13814300151,"gfdl","historic","precipitation"
"BIH",1964,91.5851047708762,"gfdl","historic","precipitation"
"BIH",1965,79.5967030393244,"gfdl","historic","precipitation"
"BIH",1966,85.7953598455582,"gfdl","historic","precipitation"
"BIH",1967,91.6520556761898,"gfdl","historic","precipitation"
"BIH",1968,98.0404864293668,"gfdl","historic","precipitation"
"BIH",1969,93.3721593400574,"gfdl","historic","precipitation"
"BIH",1970,101.371812582558,"gfdl","historic","precipitation"
"BOL",1961,117.398685062817,"gfdl","historic","precipitation"
"BOL",1962,122.129529103308,"gfdl","historic","precipitation"
"BOL",1963,159.414493586463,"gfdl","historic","precipitation"
"BOL",1964,130.361121375416,"gfdl","historic","precipitation"
"BOL",1965,109.837398956714,"gfdl","historic","precipitation"
"BOL",1966,135.03694946936,"gfdl","historic","precipitation"
"BOL",1967,151.838687887123,"gfdl","historic","precipitation"
"BOL",1968,155.313029252374,"gfdl","historic","precipitation"
"BOL",1969,127.736140995269,"gfdl","historic","precipitation"
"BOL",1970,106.150294056355,"gfdl","historic","precipitation"
"BRA",1961,176.28016440561,"gfdl","historic","precipitation"
"BRA",1962,182.077711757259,"gfdl","historic","precipitation"
"BRA",1963,179.216825450994,"gfdl","historic","precipitation"
"BRA",1964,178.718955456309,"gfdl","historic","precipitation"
"BRA",1965,167.896386177945,"gfdl","historic","precipitation"
