id	id.group	sex	age.at.test	age.group	argument.type.1	control.1	argument.type.2	control.2	test	test.blind	dropout
28	10	w	"5,39"	5	Testimony	0	Unrelated description	0	0		0
33	11	w	"5,33"	5	Looking	0	Unrelated description	0	1		0
33	11	w	"5,33"	5	Testimony	0	Preference	0	1		0
33	11	w	"5,33"	5	Preference	0	Looking	0	1		0
33	11	w	"5,33"	5	Testimony	0	Unrelated description	0	1		0
41	12	m	"5,64"	5	Unrelated description	0	Looking	0	0		0
41	12	m	"5,64"	5	Preference	3	Testimony	0	1		1
41	12	m	"5,64"	5	Looking	0	Preference	0	1		0
41	12	m	"5,64"	5	Unrelated description	0	Testimony	0	1		0
42	13	m	"5,54"	5	Looking	1	Unrelated description	0	1		0
42	13	m	"5,54"	5	Preference	0	Testimony	0	1		0
42	13	m	"5,54"	5	Looking	0	Preference	0	1		0
42	13	m	"5,54"	5	Unrelated description	0	Testimony	0	1		0
44	14	m	"5,52"	5	Looking	0	Unrelated description	1	0		0
44	14	m	"5,52"	5	Testimony	1	Preference	0	0		0
44	14	m	"5,52"	5	Preference	0	Looking	0	0		0
44	14	m	"5,52"	5	Testimony	0	Unrelated description	0	1		0
48	15	w	"5,29"	5	Unrelated description	0	Looking	0	1		0
48	15	w	"5,29"	5	Preference	0	Testimony	0	1		0
48	15	w	"5,29"	5	Looking	0	Preference	0	0		0
48	15	w	"5,29"	5	Unrelated description	0	Testimony	0	1		0
51	16	m	"5,75"	5	Looking	0	Unrelated description	0	1		0
51	16	m	"5,75"	5	Testimony	0	Preference	0	0		0
51	16	m	"5,75"	5	Preference	0	Looking	0	1		0
51	16	m	"5,75"	5	Testimony	0	Unrelated description	0	0		0
52	17	w	"5,43"	5	Unrelated description	0	Looking	0	1		0
52	17	w	"5,43"	5	Preference	0	Testimony	0	1		0
52	17	w	"5,43"	5	Looking	0	Preference	0	1		0
52	17	w	"5,43"	5	Unrelated description	0	Testimony	0	1		0
70	18	m	"5,83"	5	Looking	0	Unrelated description	0	1		0
70	18	m	"5,83"	5	Testimony	0	Preference	0	0		0
70	18	m	"5,83"	5	Preference	0	Looking	0	0		0
70	18	m	"5,83"	5	Testimony	0	Unrelated description	0	1		0
72	18	m	"5,29"	5	Looking	0	Unrelated description	1	0		0
72	19	m	"5,29"	5	Preference	2	Testimony	0	0		0
72	19	m	"5,29"	5	Looking	0	Preference	0	0		0
72	19	m	"5,29"	5	Unrelated description	0	Testimony	0	1		0
73	20	m	"5,56"	5	Unrelated description	0	Looking	0	0		0
73	20	m	"5,56"	5	Testimony	0	Preference	0	1		0
73	20	m	"5,56"	5	Preference	0	Looking	0	0		0
73	20	m	"5,56"	5	Testimony	0	Unrelated description	0	0		0
69	23	m	"3,4"	3	Looking	1	Unrelated description	0	1		0
69	23	m	"3,4"	3	Preference	0	Testimony	0	1		0
69	23	m	"3,4"	3	Looking	0	Preference	0	0		0
69	23	m	"3,4"	3	Unrelated description	0	Testimony	0	1		0
