Lat_min	Lat_max	Lon_min	Lon_max	FeO_wt%	Error(%)
89	90	-72	-71	3.952324437	36.01223694
89	90	-71	-70	3.961156741	36.16955092
89	90	-70	-69	3.960989344	36.10639089
89	90	-69	-68	3.960934565	36.0640982
89	90	-68	-67	3.960884352	36.20753334
89	90	-67	-66	3.96071696	35.45296664
89	90	-66	-65	3.960662185	35.63268956
89	90	-65	-64	3.960611975	35.95540497
89	90	-64	-63	3.960444588	35.80823283
89	90	-63	-62	3.96039438	35.54649163
89	90	-62	-61	3.960344173	35.59362196
89	90	-61	-60	3.960181356	35.87277579
89	90	-60	-59	3.960135715	36.09426864
89	90	-59	-58	3.959972901	35.50425817
89	90	-58	-57	3.959927262	35.59012415
89	90	-57	-56	3.959764451	36.44822463
89	90	-56	-55	3.959718814	35.47358819
89	90	-55	-54	3.959673177	35.93199685
89	90	-54	-53	3.959519498	35.28418276
89	90	-53	-52	3.959473863	36.03193051
89	90	-52	-51	3.959320187	36.10463935
89	90	-51	-50	3.959274553	36.15788454
89	90	-50	-49	3.95912088	35.84286559
89	90	-49	-48	3.952714909	35.69459253
89	90	-48	-47	3.952556844	36.25948348
89	90	-47	-46	3.959834297	35.96385131
89	90	-46	-45	3.959662349	35.71597697
89	90	-45	-44	3.959598453	35.7218238
89	90	-44	-43	3.95942651	35.71064896
89	90	-43	-42	3.959367182	35.77700993
89	90	-42	-41	3.959199806	35.99340388
89	90	-41	-40	3.95914048	35.01364027
89	90	-40	-39	3.958973109	35.84192491
89	90	-39	-38	3.958918349	36.20288078
89	90	-38	-37	3.958755545	35.78320506
89	90	-37	-36	3.958700788	35.60378931
89	90	-36	-35	3.958537987	35.41887979
89	90	-35	-34	3.958487795	35.90666457
89	90	-34	-33	3.958329561	36.16031168
89	90	-33	-32	3.95827937	35.81084587
89	90	-32	-31	3.95812114	36.21126688
89	90	-31	-30	3.957967473	35.61010102
89	90	-30	-29	3.957921848	35.91897693
89	90	-29	-28	3.957768185	35.50740467
89	90	-28	-27	3.957727124	35.91038721
89	90	-27	-26	3.957573463	35.6859868
89	90	-26	-25	3.957536966	36.32990828
89	90	-25	-24	3.948957389	35.887134
89	90	-24	-23	3.948799394	36.00417494
89	90	-23	-22	3.95388723	35.15908309
89	90	-22	-21	3.953715428	35.85163269
89	90	-21	-20	3.953665293	35.80268709
89	90	-20	-19	3.953498053	36.35871445
89	90	-19	-18	3.95344792	35.48831566
89	90	-18	-17	3.953285242	35.87398655
89	90	-17	-16	3.953127123	35.92979417
89	90	-16	-15	3.95308155	35.94489763
89	90	-15	-14	3.952923434	36.42368
89	90	-14	-13	3.95288242	36.01592786
89	90	-13	-12	3.952728864	35.90279266
89	90	-12	-11	3.95257531	36.16715494
89	90	-11	-10	3.952538856	36.15709869
89	90	-10	-9	3.952389861	35.9205862
89	90	-9	-8	3.952353407	36.19160586
89	90	-8	-7	3.952208971	35.80609122
89	90	-7	-6	3.952064536	36.35358422
89	90	-6	-5	3.952037198	35.80990686
89	90	-5	-4	3.951892765	35.77028868
89	90	-4	-3	3.951869983	36.49231199
89	90	-3	-2	3.951730108	36.43489674
89	90	-2	-1	3.951707327	35.99843584
89	90	-1	0	3.944243776	36.18497191
89	90	0	1	3.944104063	36.24386125
89	90	1	2	3.948740514	35.73337475
89	90	2	3	3.948591595	36.46365043
89	90	3	4	3.948555174	35.7820043
89	90	4	5	3.948410811	35.82912132
89	90	5	6	3.948383496	35.82791322
89	90	6	7	3.948239134	35.77352713
89	90	7	8	3.948099326	36.11984395
89	90	8	9	3.948076564	35.48145684
89	90	9	10	3.94794131	35.85045973
89	90	10	11	3.947918549	35.76214356
89	90	11	12	3.947787848	35.85401585
89	90	12	13	3.947769639	36.32266146
89	90	13	14	3.947638939	36.2908586
89	90	14	15	3.947625283	35.86182662
89	90	15	16	3.947503687	35.90210934
89	90	16	17	3.947490032	35.89956674
89	90	17	18	3.947372988	35.37155937
89	90	18	19	3.947363885	35.5930235
89	90	19	20	3.947246841	35.83011435
89	90	20	21	3.947246841	35.75481343
89	90	21	22	3.947129798	35.81359418
89	90	22	23	3.94713435	35.80263742
89	90	23	24	3.942991337	35.71314588
89	90	24	25	3.942991337	35.99461586
89	90	25	26	3.944834468	36.24636301
89	90	26	27	3.944829919	36.1025678
89	90	27	28	3.944717458	35.52254972
89	90	28	29	3.944722007	35.25404431
89	90	29	30	3.944726556	35.85750035
89	90	30	31	3.944618643	35.15934695
89	90	31	32	3.944623192	35.51460609
89	90	32	33	3.944519828	35.65810063
89	90	33	34	3.944533475	35.58560633
89	90	34	35	3.944434659	35.7019389
89	90	35	36	3.944448306	35.44889539
89	90	36	37	3.944461952	36.01991978
89	90	37	38	3.944372233	35.81051643
89	90	38	39	3.944390428	35.68143824
89	90	39	40	3.944413172	36.01963865
89	90	40	41	3.944323453	36.27903524
89	90	41	42	3.944350746	35.98600479
89	90	42	43	3.944378039	35.88479362
89	90	43	44	3.944292867	35.70560568
89	90	44	45	3.944324709	36.02758816
89	90	45	46	3.944356551	35.68993745
89	90	46	47	3.944275927	36.20427068
89	90	47	48	3.941174864	35.88043692
89	90	48	49	3.94120668	35.40143608
89	90	49	50	3.942735408	35.65675328
89	90	50	51	3.942771784	36.12258543
89	90	51	52	3.942803615	36.31028476
89	90	52	53	3.942839992	36.10470547
89	90	53	54	3.942763923	36.30257503
89	90	54	55	3.9428003	36.24767492
89	90	55	56	3.942841226	35.83511121
89	90	56	57	3.942882151	35.84119122
89	90	57	58	3.942927625	36.35229382
89	90	58	59	3.942856101	35.81679686
89	90	59	60	3.942901575	36.42849486
89	90	60	61	3.942951597	36.09424895
89	90	61	62	3.94300162	36.36050792
89	90	62	63	3.943051643	35.70131935
89	90	63	64	3.943101667	36.3638064
89	90	64	65	3.943043785	35.93351107
