CalBP	OC_(wt%)	TC_(wt%)		CalBP	OC+SD_(wt%)	TC+SD_(wt%)		CalYr_AD	CalBP	Marine_Temp_(degC)
3585	2.67	1.89		3585	1.89	2.83		1875.0	90	8.6
3610	2.67	1.92		3610	1.92	2.83		1874.1	91	9.0
3635	2.68	1.90		3635	1.90	2.84		1873.3	92	8.2
3660	2.68	1.87		3660	1.87	2.85		1872.5	93	4.0
3685	2.70	1.85		3685	1.85	2.86		1871.6	94	6.8
3710	2.73	1.83		3710	1.83	2.88		1870.8	95	5.6
3735	2.75	1.81		3735	1.81	2.89		1870.0	96	5.9
3760	2.77	1.79		3760	1.79	2.92		1869.2	97	6.7
3785	2.80	1.78		3785	1.78	2.96		1868.3	98	7.2
3810	2.82	1.77		3810	1.77	3.00		1867.5	99	6.1
3835	2.85	1.76		3835	1.76	3.04		1866.7	100	6.6
3860	2.87	1.76		3860	1.76	3.08		1865.8	101	5.4
3885	2.89	1.77		3885	1.77	3.12		1865.0	102	5.6
3910	2.92	1.74		3910	1.74	3.16		1864.2	103	6.5
3935	2.94	1.68		3935	1.68	3.20		1863.3	104	6.6
3960	2.96	1.62		3960	1.62	3.24		1862.5	105	5.6
3985	2.99	1.56		3985	1.56	3.28		1861.7	106	6.5
4010	2.95	1.50		4010	1.50	3.32		1860.8	107	6.5
4035	2.99	1.44		4035	1.44	3.36		1860.0	108	9.3
4060	3.02	1.42		4060	1.42	3.40		1859.2	109	6.0
4085	3.06	1.34		4085	1.34	3.49		1858.3	110	5.5
4110	3.09	1.41		4110	1.41	3.54		1857.5	111	5.7
4135	3.13	1.48		4135	1.48	3.58		1856.7	112	6.2
4160	3.17	1.53		4160	1.53	3.63		1855.8	113	6.0
4185	3.19	1.59		4185	1.59	3.67		1855.0	114	6.9
4210	3.21	1.65		4210	1.65	3.71		1854.2	115	6.8
4235	2.76	1.71		4235	1.71	3.76		1853.3	116	6.1
4260	2.76	1.66		4260	1.66	3.81		1852.5	117	5.5
4285	2.76	1.60		4285	1.60	3.86		1851.7	118	4.9
								1850.8	119	5.5
								1850.0	120	6.8
								1849.2	121	8.0
								1848.3	122	8.8
								1847.5	123	6.6
								1846.7	124	7.2
								1845.8	125	8.9
								1845.0	126	9.3
								1844.2	127	9.5
								1843.4	128	9.3
								1842.5	129	8.0
								1841.7	130	5.4
								1840.9	131	7.7
								1840.0	132	7.3
								1839.2	133	9.2
								1838.4	134	8.8
								1837.5	135	9.0
								1836.7	136	8.7
								1835.9	137	8.6
								1835.0	138	8.8
								1834.2	139	7.1
								1833.4	140	6.6
								1832.5	141	9.6
								1831.7	142	9.3
								1830.9	143	7.0
								1830.0	144	8.3
								1829.2	145	7.7
								1828.4	146	8.0
								1827.5	147	7.8
								1826.7	148	7.5
								1825.9	149	8.1
								1825.0	150	7.5
								1824.2	151	7.7
								1823.4	152	8.2
								1822.5	153	8.0
								1821.7	154	8.3
								1820.9	155	9.5
								1820.0	156	7.8
								1819.2	157	8.4
								1818.4	158	7.2
								1817.6	159	7.2
								1816.7	160	7.5
								1815.9	161	6.9
								1815.1	162	8.5
								1814.2	163	8.5
								1813.4	164	7.3
								1812.6	165	8.3
								1811.7	166	8.2
								1810.9	167	7.2
								1810.1	168	7.3
								1809.2	169	6.7
