Date	INDICATORS_BCI_M	INDICATORS_CCI_M
2004-11-01	101.0748	101.3107
2004-12-01	100.9997	101.1482
2005-01-01	100.9216	101.1658
2005-02-01	100.8535	101.1236
2005-03-01	100.8134	101.0099
2005-04-01	100.817	101.0828
2005-05-01	100.8435	101.1625
2005-06-01	100.8702	101.2162
2005-07-01	100.8846	101.3322
2005-08-01	100.8961	101.3385
2005-09-01	100.9221	101.2614
2005-10-01	100.976	101.3742
2005-11-01	101.0417	101.5073
2005-12-01	101.0963	101.6204
2006-01-01	101.1221	101.8058
2006-02-01	101.1285	101.847
2006-03-01	101.127	101.7454
2006-04-01	101.1241	101.7065
2006-05-01	101.1231	101.584
2006-06-01	101.1274	101.412
2006-07-01	101.1404	101.3627
2006-08-01	101.1625	101.2889
2006-09-01	101.1963	101.2661
2006-10-01	101.2445	101.4196
2006-11-01	101.2951	101.537
2006-12-01	101.3308	101.5442
2007-01-01	101.337	101.6072
2007-02-01	101.3232	101.5498
2007-03-01	101.2978	101.3381
2007-04-01	101.2629	101.1385
2007-05-01	101.2201	100.8987
2007-06-01	101.1666	100.6301
2007-07-01	101.1001	100.456
2007-08-01	101.0331	100.3316
2007-09-01	100.9828	100.164
2007-10-01	100.9603	99.88197
2007-11-01	100.9441	99.49336
2007-12-01	100.9029	99.14854
2008-01-01	100.811	98.87144
2008-02-01	100.6903	98.60325
2008-03-01	100.5668	98.2877
2008-04-01	100.4561	97.86546
2008-05-01	100.3524	97.42528
2008-06-01	100.242	97.05115
2008-07-01	100.1115	96.76947
2008-08-01	99.96094	96.59454
2008-09-01	99.78047	96.50897
2008-10-01	99.54642	96.33734
2008-11-01	99.24752	96.13302
2008-12-01	98.84884	95.939
2009-01-01	98.32072	95.88267
2009-02-01	97.76736	96.04116
2009-03-01	97.33775	96.47032
2009-04-01	97.16172	97.10099
2009-05-01	97.16235	97.77541
2009-06-01	97.27059	98.35603
2009-07-01	97.46317	98.81797
2009-08-01	97.69296	99.10658
2009-09-01	97.92788	99.25068
2009-10-01	98.15253	99.29298
2009-11-01	98.36478	99.25561
2009-12-01	98.56326	99.2073
2010-01-01	98.74731	99.30081
2010-02-01	98.93065	99.46516
2010-03-01	99.13098	99.64082
2010-04-01	99.36019	99.7796
2010-05-01	99.59762	99.86082
2010-06-01	99.81164	99.88938
2010-07-01	99.97295	99.84193
2010-08-01	100.0913	99.72055
2010-09-01	100.1701	99.60009
2010-10-01	100.2033	99.58532
2010-11-01	100.213	99.65745
2010-12-01	100.2158	99.71632
2011-01-01	100.2132	99.64523
2011-02-01	100.189	99.30679
2011-03-01	100.1114	98.66882
2011-04-01	99.9578	98.00587
2011-05-01	99.79199	97.79768
2011-06-01	99.7057	97.94057
2011-07-01	99.77223	98.22959
2011-08-01	99.92058	98.48938
2011-09-01	100.0617	98.72344
2011-10-01	100.1333	98.88174
2011-11-01	100.1512	98.98261
2011-12-01	100.1381	99.09151
2012-01-01	100.1053	99.19263
2012-02-01	100.0665	99.24447
2012-03-01	100.031	99.27027
2012-04-01	100.005	99.27892
2012-05-01	99.98769	99.29385
