subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,0.69421,1,3,1,1,1,0,2,AT,1
1,0.70382,1,1,1,1,2,1,2,A,2
1,1.1414,1,5,1,1,1,0,2,AT,1
1,0.92148,1,2,1,1,1,0,2,T,1
1,0.66022,1,4,1,1,2,1,2,AT,2
1,0.71484,1,1,1,1,1,0,2,A,1
1,0.75038,1,4,1,1,2,1,2,AT,2
1,1.2998,1,5,1,1,1,0,2,AT,1
1,1.6152,1,1,1,1,2,1,2,A,2
1,1.4017,1,2,1,1,2,1,2,T,2
1,0.68889,1,2,1,1,1,0,2,T,1
1,0.8804,1,4,1,1,1,0,2,AT,1
1,0.94535,1,5,1,1,2,1,2,AT,2
1,1.1261,1,3,1,1,1,0,2,AT,1
1,0.81624,1,3,1,1,2,1,2,AT,2
1,0.92145,1,1,1,1,2,1,2,A,2
1,0.70024,1,3,1,1,1,0,2,AT,1
1,0.74769,1,3,1,1,2,1,2,AT,2
1,1.021,1,2,1,1,1,0,2,T,1
1,0.62545,1,4,1,1,2,1,2,AT,2
1,1.4352,1,4,1,1,1,0,2,AT,1
1,0.76432,1,5,1,1,1,0,2,AT,1
1,0.89756,1,5,1,1,2,1,2,AT,2
1,2.1904,1,2,1,1,2,1,2,T,2
1,1.1849,1,1,1,1,1,0,2,A,1
1,0.75178,1,5,1,1,2,1,2,AT,2
1,0.68913,1,1,1,1,1,0,2,A,1
1,0.62266,1,4,1,1,1,0,2,AT,1
1,0.66252,1,2,1,1,1,0,2,T,1
1,0.6282,1,3,1,1,2,1,2,AT,2
1,0.72202,1,4,1,1,2,1,2,AT,2
1,0.7175,1,3,1,1,1,0,2,AT,1
1,1.393,1,2,1,1,2,1,2,T,2
1,1.7563,1,5,1,1,1,0,2,AT,1
1,0.94021,1,1,1,1,2,1,2,A,2
1,0.85898,1,1,1,1,2,1,2,A,2
1,0.70597,1,4,1,1,2,1,2,AT,2
1,0.75155,0,5,1,1,2,1,2,AT,1
1,0.88289,0,4,1,1,1,0,2,AT,2
1,1.2038,1,3,1,1,2,1,2,AT,2
1,1.1737,0,2,1,1,2,1,2,T,1
1,2.2036,0,5,1,1,1,0,2,AT,2
1,1.1521,1,3,1,1,1,0,2,AT,1
1,0.6921,1,2,1,1,1,0,2,T,1
1,0.78174,1,1,1,1,1,0,2,A,1
1,1.1522,0,4,1,2,2,1,2,AT,1
1,0.55826,1,2,1,2,1,0,2,T,1
1,0.63825,1,5,1,2,1,0,2,AT,1
1,0.54605,1,4,1,2,1,0,2,AT,1
1,0.78212,0,1,1,2,2,1,2,A,1
1,0.98938,1,1,1,2,1,0,2,A,1
1,0.7,1,5,1,2,2,1,2,AT,2
1,1.1615,1,2,1,2,2,1,2,T,2
1,0.64356,1,3,1,2,1,0,2,AT,1
1,1.8474,1,3,1,2,2,1,2,AT,2
1,1.615,0,1,1,2,2,1,2,A,1
1,0.9415,1,4,1,2,1,0,2,AT,1
1,0.80428,1,2,1,2,2,1,2,T,2
1,0.71745,1,3,1,2,1,0,2,AT,1
1,0.64899,0,4,1,2,2,1,2,AT,1
1,0.78672,1,1,1,2,1,0,2,A,1
1,0.64799,1,5,1,2,1,0,2,AT,1
1,0.64974,0,5,1,2,2,1,2,AT,1
1,0.73353,1,3,1,2,2,1,2,AT,2
1,0.89496,1,2,1,2,1,0,2,T,1
1,1.2909,0,5,1,2,1,0,2,AT,2
1,0.63443,1,3,1,2,1,0,2,AT,1
1,1.4403,1,2,1,2,1,0,2,T,1
1,0.84929,0,1,1,2,2,1,2,A,1
1,1.3144,1,2,1,2,2,1,2,T,2
1,1.7099,1,4,1,2,1,0,2,AT,1
1,0.968,1,3,1,2,2,1,2,AT,2
1,1.4247,1,1,1,2,1,0,2,A,1
