007A1FS20AE075004200000NT    	
6	2045
4	2751
4	2885
4	3036
5	1025
3	1950
5	1880
3	3972
6	2127
4	2756
5	3018
5	6069
6	1468
4	1932
5	1692
4	1647
4	2487
3	2121
5	1475
5	1020
5	877
5	830
4	1441
4	2160
4	3974
4	1770
0	0
7	2472
1	6361
3	3932
4	3015
6	6283
2	3714
2	1361
6	217
3	6852
3	1900
4	1481
4	2643
4	2575
1	2792
3	2281
4	2410
3	2422
6	2600
2	1870
1	4042
7	1688
4	3350
4	1283
3	2646
3	1059
4	1094
4	1948
4	2983
4	2723
2	2867
4	1689
2	2907
2	4236
3	2426
5	3953
4	2043
4	4549
5	6066
6	2044
4	1762
3	2627
3	1585
3	1879
3	2012
4	2155
5	3747
4	2659
0	0
3	2696
4	2169
4	3288
4	3287
6	1585
7	7037
6	4993
2	1999
5	2438
6	4230
7	2893
3	3358
2	4278
4	2304
6	2894
4	2153
4	856
3	2178
1	2559
3	1927
4	2547
4	3493
5	3305
3	5581
3	2457
2	2078
6	3011
5	4072
4	2546
4	1017
5	3784
2	2039
6	1361
6	1379
6	3436
069B1MN19AS000000002122NV	
3	6423
6	8374
2	2754
5	3980
4	3328
4	2106
6	1743
2	1790
7	4249
2	3005
2	1899
2	3509
5	1805
6	3274
2	4589
3	1647
2	2062
2	6852
3	2108
4	2748
3	2769
3	3662
2	3730
3	4620
5	3567
6	2392
4	4747
3	3212
3	5707
4	47
6	3957
4	4940
4	4767
2	1695
0	0
6	5737
4	2522
5	2236
5	5928
6	6544
5	2783
5	4856
3	1765
2	1820
2	1900
3	5880
6	3174
3	2616
2	2408
5	2458
2	5083
6	3040
6	2452
6	3525
3	2589
5	140
3	6697
7	2685
3	4116
6	5078
7	4399
4	3934
3	2633
3	4785
3	6383
5	4415
3	2566
3	2568
4	2195
6	2528
3	2583
6	6628
7	5323
6	2156
5	1001
3	1987
4	6913
2	3653
1	3397
2	1083
5	3611
4	3673
2	3093
4	3105
2	1546
4	1839
5	5235
6	1694
5	5174
5	2157
3	6721
6	2001
6	4999
2	2610
3	3481
2	2765
5	3119
4	3723
3	2169
3	1586
6	3181
0	0
5	2754
6	1407
3	2006
2	1244
5	66
3	3506
4	4137
2	1685
2	2549
6	3607
5	5961
6	1363
2	3039
2	2698
3	8572
4	4726
6	2231
4	3326
5	1948
4	8547
2	2176
6	1799
5	4915
5	4254
2	2276
2	1612
2	5654
6	981
6	2483
6	3345
2	3959
2	1963
3	3054
2	3884
6	1100
3	3747
6	2556
4	2540
3	2869
2	2485
2	6548
3	4097
7	3091
5	4355
6	2317
2	2717
4	2060
3	1529
2	5305
2	2055
2	3870
6	4088
6	1522
6	1804
070B1FN19BE000000002112NV	
3	3723
3	2482
5	3322
5	1970
6	3809
2	2018
6	5460
6	3388
6	2969
5	2458
2	2219
2	1846
5	5399
4	7212
5	1878
4	4555
3	3764
3	2370
4	2779
4	2491
5	3060
4	8518
4	4111
4	4322
3	2320
5	2420
3	6978
5	2259
0	0
4	3195
2	6574
4	2524
3	4130
4	2018
4	5885
5	4335
4	5788
3	3512
3	1023
2	4170
3	2482
3	7000
5	2640
4	1853
6	2771
4	7308
4	3530
3	7116
3	4448
3	3130
3	2233
5	1279
6	1975
6	4675
2	5251
3	2385
3	2000
5	8685
3	1947
0	0
5	1616
4	4190
3	1997
4	5844
4	2869
2	3321
4	5062
3	2135
3	2106
5	2253
5	2142
4	1917
5	3870
2	2105
3	3720
4	4560
2	2049
3	2211
4	4627
3	2217
5	9343
4	4184
6	2213
4	7930
2	3810
3	3145
3	1715
5	1842
3	1856
6	1031
6	3484
3	1190
5	1970
3	3571
3	972
3	900
6	1752
7	4732
6	3180
6	572
2	2623
4	2410
3	3126
4	5626
6	487
4	1773
3	3944
4	482
5	4944
6	2159
5	2561
3	2647
1	5273
5	1068
3	1864
4	34
2	4830
3	3404
3	3033
4	4647
6	1544
3	1277
5	2769
4	532
3	1505
3	532
3	1496
3	3047
3	1007
6	1379
5	1911
5	1449
3	2249
3	3222
3	1615
3	1469
6	689
5	2756
6	2083
4	1276
6	5492
2	2148
5	1342
5	1646
6	2906
6	412
4	3598
3	172
5	5017
3	1780
6	2790
3	3112
3	421
4	1766
4	3938
5	2392
071B1FN18BE000000001122NT	
3	1613
4	699
5	624
5	5534
4	736
5	5027
5	2411
1	1006
2	6101
3	4146
1	1912
2	2734
6	1428
6	1398
7	2236
1	1572
1	2377
1	1752
6	1152
4	1796
6	6477
3	1860
2	2457
4	1282
4	1716
4	1050
3	1305
3	2063
4	1375
4	1289
5	2280
4	2494
3	3039
4	1423
2	1285
2	876
2	1283
1	2526
3	4892
6	1083
5	1740
5	2274
3	5822
3	5837
3	2169
5	2169
5	3002
4	7514
5	1774
5	4363
4	2186
4	2918
5	7347
3	2484
5	1817
3	2103
5	1897
6	4582
1	1780
3	2672
4	7205
5	1791
5	1423
3	2323
2	2784
5	4957
6	3083
3	1255
4	2879
5	1921
3	1981
4	2002
4	3463
7	1114
1	1770
4	1558
4	1681
3	3927
2	5397
3	1755
6	4346
5	1829
4	1388
4	1947
3	1850
4	1994
5	1849
0	0
5	1961
4	1503
2	1680
6	975
3	1992
6	1895
2	5686
4	1074
7	2110
1	1242
6	2830
7	2410
1	6011
1	1751
3	2535
4	3945
2	1638
2	1345
4	4451
4	4550
4	1796
1	1792
4	2359
6	2438
6	1322
6	933
5	5084
5	2200
4	1559
3	2653
4	2076
6	2394
7	2054
5	524
5	3469
4	1747
3	3355
5	1827
4	1384
3	4338
3	8420
7	1996
6	3836
3	1882
4	548
2	3065
4	1214
6	1085
5	2062
6	2898
4	7125
3	1951
7	1645
4	3287
5	1709
5	1961
5	1998
5	4787
6	5442
4	4745
2	1949
1	2296
2	5264
5	2405
2	1934
5	1666
5	2966
4	886
072B1FN18ME000000002212NT	
6	1668
6	1219
7	6801
3	1520
6	1406
7	1923
1	4550
6	1077
3	5237
7	1769
5	3964
3	2161
5	1555
5	6159
4	1742
4	1943
2	1487
7	5996
6	1597
7	3435
5	3749
3	2784
1	8904
1	3841
7	7502
5	2550
1	1298
7	972
4	1959
3	2511
7	1514
1	1708
4	888
2	684
7	2526
3	2425
3	1264
3	1867
3	1226
3	2212
6	1765
5	1416
7	1549
3	1868
5	1407
1	1820
2	1565
1	4286
1	3150
4	5870
2	896
7	1283
1	6471
5	1784
7	2375
3	919
3	1261
1	2233
6	1180
5	1360
6	1419
4	1278
5	1932
4	1202
1	1194
6	1330
4	2019
7	1231
2	1038
5	2586
6	1791
1	1185
1	1901
1	3680
1	907
7	1710
3	6118
1	1188
7	1694
4	2484
1	1629
1	890
1	3447
1	3821
3	1394
7	6063
6	2657
1	2382
4	1057
1	2240
7	1824
7	3234
4	1603
2	2977
4	1451
1	2551
7	2574
7	1689
7	1287
1	2255
1	2344
1	1965
7	1260
7	1149
3	2997
1	797
1	2807
5	1025
7	1903
7	3043
1	2775
3	1175
2	7186
1	842
1	1122
4	1999
7	2259
2	1984
1	1577
1	1344
7	1845
2	1636
7	5799
1	1341
3	1202
1	2238
7	978
1	2517
5	4303
4	1221
3	2417
3	2203
4	5295
7	3422
1	2370
7	3603
7	1795
7	1149
2	1605
7	1379
1	1596
1	1594
4	2577
1	4838
1	3538
2	1873
7	2444
2	873
4	1121
7	2719
7	1671
7	2101
1	1837
2	3305
1	2442
1	2086
073B1FS18AE066006600000NV	
3	1797
4	2473
3	2154
5	2979
5	6732
6	5659
7	3580
7	6154
6	1885
1	2132
1	2564
1	3917
5	7661
6	1409
6	2522
1	1724
1	2209
5	2039
4	2114
6	1188
6	2038
4	2052
2	2138
3	2181
6	1598
6	5514
6	2006
1	3324
2	2061
1	1688
4	2785
4	2317
4	5156
6	1877
3	2305
4	2099
3	2094
1	1881
6	1723
6	1348
6	1996
4	1985
1	2274
1	3269
4	4208
5	1453
7	3227
4	3176
1	1854
1	2151
1	2400
6	2358
7	2257
0	0
3	2108
1	5509
2	3291
6	2198
6	2652
4	3047
3	4778
1	1237
4	2322
4	7338
3	1208
3	1854
1	4179
3	1924
2	3857
6	2579
3	5557
3	2251
4	2226
7	1376
1	4655
2	1963
6	1443
4	2362
4	1920
1	7902
7	1030
7	1094
4	1987
4	6905
5	4553
7	2135
4	1821
5	2936
2	3145
1	6530
5	1088
7	1624
6	3131
1	1825
1	4621
1	3419
7	1388
7	2667
5	2398
1	1821
1	2876
1	3593
6	2576
6	6608
1	1989
1	2183
1	2520
1	1869
6	1814
6	1449
2	5652
2	1509
2	2379
1	4648
6	2331
6	1078
2	2665
3	3492
1	1451
2	3154
7	2646
7	2032
5	3100
2	2842
1	2238
1	2530
4	2000
3	2508
4	1968
4	2255
5	2814
5	2583
3	2217
1	2270
5	2652
6	2132
5	2688
6	2177
5	3956
7	2078
6	1740
1	1871
2	1842
4	3104
7	3334
1	1810
7	1702
1	2354
1	2203
1	1664
6	4463
5	2348
6	1212
3	3035
4	3315
4	2802
074B1FN18AE000000002122NV	
2	2806
2	3276
2	4549
5	3409
4	4348
3	4167
6	4536
6	3284
2	8204
1	2153
1	3436
3	4886
4	4927
4	4550
4	4767
2	4966
2	3451
3	6538
4	3316
5	2831
6	3848
1	5065
1	4258
3	4668
3	3037
3	3097
4	5501
3	2974
3	4375
4	5021
3	3881
2	4786
3	4488
3	6711
3	5782
0	0
4	4365
3	2013
5	4041
4	4259
2	3191
4	7349
3	8794
3	5575
4	5632
3	4997
2	5279
2	3092
2	3236
1	2717
1	3311
4	3456
2	1926
5	3839
4	5229
3	2971
4	5083
3	5024
3	2594
3	3202
4	5348
5	4782
4	6003
2	4282
3	3952
2	5362
5	6639
4	6699
4	4903
2	3785
3	3773
2	6796
3	2891
1	2222
4	4737
4	2149
2	2668
4	1565
3	3261
3	2621
1	3434
4	2516
4	8901
5	2808
3	5251
4	5491
2	3665
2	4075
3	4823
2	4430
4	3999
5	3382
5	5111
2	6899
2	4712
1	2763
5	5705
4	2939
5	2455
2	2444
2	2886
2	2475
3	5452
3	5372
3	5012
2	5770
4	4347
4	3726
3	2412
2	5362
3	4731
4	5809
4	3332
3	6445
3	4016
3	4385
3	7813
4	6525
3	5537
3	7209
3	2365
3	3868
5	3671
4	4723
2	6220
3	5698
2	3539
3	9942
2	3930
5	4049
5	2210
4	4053
2	4355
2	5516
2	2582
4	2010
4	4829
4	6030
3	5878
3	2772
3	4451
3	6274
4	2476
3	7789
4	4782
3	5183
3	4138
3	3069
3	3264
3	4119
3	3
3	3400
3	4053
4	3310
4	5889
3	6528
075B1FN24AS000000002112YT	
3	2327
1	1931
4	2333
7	2460
5	1763
6	2291
7	1647
1	1843
5	2197
1	2225
6	1643
1	1562
3	3863
4	1338
4	3778
1	2555
2	4369
2	4701
5	1608
4	2377
4	2207
3	1729
2	6132
3	3894
7	4801
5	2199
1	3548
1	2362
2	3424
5	1971
2	939
2	2777
5	1891
4	1901
2	3771
2	1768
2	2964
2	4819
4	2000
1	4275
4	3315
5	2414
2	2043
1	4135
1	4004
2	1627
3	4270
4	4600
1	2126
1	4582
3	5790
5	2186
5	1721
3	4454
3	2413
4	1909
5	1960
3	5260
3	3961
3	2070
4	2047
3	2998
3	3814
2	2800
3	847
1	2503
6	4373
4	2361
3	1986
2	1824
4	2237
4	1610
7	1342
1	1190
4	2260
5	1662
1	1751
5	1404
3	3865
4	1531
3	4066
2	2050
3	1067
3	2664
7	2368
7	4223
2	1529
5	2171
3	7290
1	2331
1	973
5	8341
6	1641
1	1340
1	2027
1	3423
1	3504
1	3753
3	1890
3	1316
2	2415
5	2891
1	3870
1	2076
1	1621
2	1666
1	2885
4	2938
4	3185
4	6151
6	2396
3	1299
1	1816
4	2989
5	2844
3	2226
2	3283
7	1397
2	1829
4	3014
6	2325
1	2130
3	3098
4	3829
4	1659
4	103
2	7510
5	2962
1	1565
1	6596
3	6060
1	2247
2	1992
3	839
2	5099
4	3126
5	2626
3	1297
7	3497
6	3762
3	1915
5	2896
1	5
5	1446
6	3053
7	1543
3	4052
3	5635
2	1771
3	3596
3	1498
7	3073
1	4415
5	3772
5	2930
4	2882
076B1FN20AS000000002112NT	
2	2352
5	1768
4	2238
4	2446
2	2085
4	1714
6	1946
6	2759
3	2485
1	1670
2	2508
3	1858
5	1349
5	1898
6	1868
1	2334
1	6062
5	3101
4	3316
3	5582
5	3121
2	3550
1	1962
3	5991
3	2061
3	4559
4	1725
5	2254
3	2982
3	8601
4	2220
2	2387
3	2911
3	6401
2	2888
2	3017
1	1700
2	7357
4	2114
6	3018
4	1480
4	2464
1	2273
0	0
4	2135
6	1638
3	4329
4	3344
5	2497
2	5037
4	2230
5	5490
5	1811
3	2378
6	1872
3	2252
5	5082
2	2684
3	3305
3	5316
3	3675
5	3357
5	6960
4	2937
3	2762
4	2066
3	1887
1	1872
2	2604
6	3598
1	9152
2	2405
1	8566
7	3753
3	3552
6	1808
1	2900
6	1770
3	4143
4	1464
1	2731
1	1035
7	1899
3	1933
2	4533
2	1748
4	2344
3	6830
4	5577
3	2126
0	0
4	4246
4	3252
5	1941
1	4777
7	2674
6	5873
2	7337
4	6660
4	1979
5	4086
5	1289
4	2965
5	3384
3	2502
3	3785
6	2236
1	5891
6	2045
3	4703
4	2545
3	2471
4	4496
2	4992
3	1996
1	3271
3	4565
3	3433
7	4091
4	2396
1	1421
1	2898
7	2671
7	2112
6	5554
7	1717
3	4350
4	1955
6	3493
4	2372
7	6028
5	5690
4	1583
1	2113
3	1656
4	1467
7	6814
1	4924
2	1122
3	3652
3	1763
2	2070
5	3436
6	2976
5	3123
6	3743
4	2773
2	2246
1	2442
3	3425
1	3063
1	3062
6	3212
7	1791
5	2146
7	2216
077B1MS18AE065008700000NT	
1	2529
1	4550
0	0
5	1673
6	2581
6	5553
6	3824
5	8128
1	2239
4	2406
2	5403
6	2118
5	1071
5	3150
5	1961
1	1470
1	1558
1	2841
5	2841
6	4013
6	1669
1	2250
1	4383
2	2163
2	3936
1	1410
1	4934
5	5389
5	3125
5	4315
2	1870
1	1280
5	3601
6	2695
1	2608
1	1447
1	2550
1	1867
3	3853
5	2031
5	2264
6	1266
1	1353
1	1895
2	4377
5	8732
6	2548
5	3575
6	4742
4	3571
5	2850
1	6387
2	4052
2	4037
5	4149
5	4032
5	2066
1	1821
2	2297
1	2081
6	6079
5	2189
5	1492
1	2271
1	3682
1	1621
6	96
4	2042
4	1974
1	2120
2	3794
1	2582
1	1542
3	6827
1	1848
1	3011
1	1850
1	3783
1	1004
3	2491
1	2507
1	2272
1	1570
1	2714
1	1767
1	2275
1	2114
7	1779
4	1850
5	1592
1	1546
1	1256
2	1669
5	2647
4	1301
4	1646
1	1545
1	1761
1	1267
6	3740
4	2956
4	1942
1	2792
1	2188
2	2732
7	2723
5	2025
4	4024
1	2388
2	3335
1	1465
7	2482
3	2746
4	5105
1	2330
1	2051
2	2978
7	3171
5	1058
4	2449
2	2416
1	1727
1	3076
5	2333
4	1513
5	2148
2	2725
1	2724
1	3257
6	2171
6	3345
5	3006
1	3444
2	2273
2	2784
6	2278
5	1360
5	1921
1	1297
1	2404
1	2255
5	1955
4	2810
4	3800
2	1437
1	1468
2	1503
5	2453
4	3753
4	4351
1	1584
2	2251
1	2452
5	4164
4	1394
4	2086
078B1MN26AE000000002112NV	
6	4127
2	2025
4	4135
4	1688
6	4777
6	2998
6	4056
7	3021
1	5920
1	3273
1	2893
7	4871
5	5504
5	6982
7	2162
2	5173
1	1830
1	2253
7	1929
7	1766
6	2415
1	2840
2	2130
1	4679
3	3228
1	1091
3	2936
6	5334
6	2705
6	3035
1	3859
1	2901
1	4710
5	4884
0	0
1	8332
1	2111
1	2777
1	2449
7	2360
1	3993
6	3456
1	2377
2	1293
4	3860
5	2344
6	2043
6	6380
5	2331
4	2233
5	2526
4	1684
5	1429
2	2325
6	5602
6	2583
6	4985
2	4087
2	3358
4	2618
7	3589
7	1943
7	1789
2	5297
2	3017
1	4441
6	1437
5	3087
6	3777
1	5373
2	3539
1	868
3	2188
5	3793
2	1836
2	1879
4	2948
1	1578
1	1823
1	1437
4	3143
2	1907
0	0
1	995
6	2389
6	4885
3	4474
5	5859
4	1455
5	4552
5	6530
3	5656
2	1938
2	2518
2	2262
1	2110
3	4040
3	4519
5	3918
2	3669
2	3160
2	2935
2	2920
1	4561
7	2214
3	3896
2	4016
2	4127
4	2419
4	6804
3	6948
4	6735
6	2864
5	7320
4	1522
4	3490
4	3916
4	3809
5	5146
4	5839
2	3771
4	2976
2	4680
2	6033
3	6243
5	3620
1	4387
1	2642
2	5343
5	2138
7	2853
4	3086
1	1771
1	2388
2	6402
6	2178
7	1942
6	3681
2	6749
2	6065
4	5110
5	3379
4	3269
5	3200
5	5692
4	3237
5	2592
5	2832
2	3522
5	6124
1	1765
1	3057
1	1956
5	3860
7	2157
7	3012
080B1MS18AE067005300000NV	
6	3621
6	2406
5	3347
2	1937
1	2626
5	5378
3	2531
7	3127
7	2471
1	2982
1	1887
1	3844
7	2317
7	3680
7	1427
1	4254
1	2542
1	2040
7	2354
7	1843
7	2877
1	2981
1	2511
1	3362
2	5719
5	4004
6	4544
4	2909
4	3383
6	2652
6	1288
2	2569
2	5649
4	2309
4	6052
4	3421
2	5255
2	3301
2	2649
5	2841
3	5503
6	2403
3	2064
3	4116
3	4166
2	138
6	3615
3	3349
3	2351
2	3228
2	1621
7	2801
6	5511
0	0
5	3794
4	2734
3	2473
3	4501
4	3789
4	2573
7	2794
5	2584
3	2224
5	5157
5	2774
3	5614
4	2786
2	3828
3	4240
5	4133
6	5122
5	2576
6	1682
6	1885
1	4593
2	1697
3	4034
5	1458
4	4367
4	2170
5	2254
3	4477
2	2246
3	1668
6	4119
5	2982
7	5261
4	6428
2	6128
5	3505
6	6011
6	3261
3	707
2	5539
3	3167
2	3569
2	4166
3	4404
1	3365
7	2179
5	3272
2	3786
3	5308
3	4399
7	3327
2	4014
4	2435
1	3005
3	3337
3	2562
6	199
5	389
3	2629
6	1734
4	1300
2	3754
1	3928
6	1536
5	2197
3	2892
4	4313
5	3498
6	6923
5	3940
3	4128
3	3589
2	5856
1	4418
1	2264
7	4756
5	5149
6	2096
4	5116
6	1276
1	2779
6	2761
6	1153
6	6444
3	935
3	469
3	353
2	3024
1	4968
2	1568
7	2353
6	209
6	353
6	4292
3	2687
4	2252
6	3919
6	233
4	6167
3	273
4	214
6	3630
096B2FN18AE000000002112NV	
4	3401
4	2797
3	1757
4	6943
4	3820
4	3533
5	2357
1	2448
3	8531
1	2254
3	4067
5	2962
3	2672
4	7419
5	3131
5	4014
4	5483
3	3503
6	4001
4	5918
5	2223
1	4986
1	4171
3	3433
5	2815
6	157
3	2934
2	4734
2	2571
4	2325
4	2990
3	2114
5	1424
5	7454
3	2435
4	2654
2	3137
6	3149
3	2978
6	3258
0	0
5	4471
1	2665
5	2804
2	2653
6	2435
4	1707
5	4116
5	3116
3	2001
4	3429
5	6201
3	2118
3	3027
5	7111
4	5472
4	4445
3	5277
4	4042
3	1697
4	1357
4	1983
4	2955
2	2420
2	4330
4	1827
4	3951
3	5270
3	3088
3	2118
5	3213
4	4526
4	4212
5	4368
4	2794
2	3623
4	2795
2	5259
1	5701
1	2053
3	1974
4	3807
3	1951
3	2831
2	5259
2	2745
4	3603
4	1858
6	2645
5	5730
7	3635
6	3214
4	5658
5	3376
1	2640
1	4623
6	5664
5	4624
4	7797
5	6666
3	2128
4	5831
1	2656
3	4251
4	1828
4	3819
5	8411
6	3105
1	2567
1	2862
3	3893
6	1718
7	2857
6	5304
1	2891
1	2861
4	2311
4	6661
7	3275
5	5080
3	3613
5	2804
3	3755
4	2611
3	4297
2	2949
5	5629
5	4434
5	3650
4	1104
2	2110
2	6935
4	3862
3	2329
4	4620
4	1522
3	3955
4	5501
1	3106
2	4848
4	3339
4	1047
5	3053
5	4632
1	2814
3	3138
2	4850
6	2856
7	3151
5	6584
5	4385
4	8702
4	2026
4	2552
2	2204
3	8304
097B2FN18AE000000002112NV	
5	3684
5	4448
4	5553
2	4981
1	3468
3	5476
1	2115
7	2494
6	2737
1	2491
1	2439
6	3201
7	3094
5	3890
7	2592
1	2595
1	1322
2	6041
5	2835
6	4498
4	5041
1	3472
1	2212
6	5906
3	2237
3	4014
1	6376
6	2182
6	8174
0	0
6	6334
2	5796
6	6244
6	4210
4	4836
6	4350
1	1930
1	1597
1	2323
7	2315
7	1811
4	3377
2	6725
1	1803
2	5156
5	2147
4	1805
4	7279
6	1840
5	1354
4	4384
1	3110
1	4094
6	3091
6	1814
5	2472
5	1835
2	1429
2	1089
3	3738
4	3247
4	3865
4	2694
2	3914
6	1815
6	2976
6	1829
3	3763
2	6176
4	2215
6	5274
4	6791
0	0
4	9066
5	963
3	493
5	1090
3	5567
5	3075
6	9758
4	1692
6	3147
4	7182
6	2421
1	6644
1	1055
1	3372
5	2879
7	1492
7	1601
1	1088
7	1825
7	4402
2	8893
2	3781
2	3957
7	2679
5	1887
7	3120
2	5021
2	1969
1	2631
2	3621
1	2844
5	7497
2	4862
1	1895
2	2551
1	2004
1	1252
1	2224
7	1537
7	3459
5	7591
7	1748
1	1233
2	6322
5	5753
7	2524
5	1691
1	2039
1	1544
1	2849
5	4683
5	3936
5	3703
1	1648
1	1570
1	2784
4	3961
5	2149
5	3745
7	2440
7	2096
7	3597
2	2919
1	7165
2	3392
1	1795
1	1544
1	3445
5	5264
7	1742
7	2511
2	3552
1	1593
1	1319
5	2186
7	1809
5	3345
1	1193
5	2376
5	1956
1	3197
1	3633
1	2300
100B2MS18AE057006700000NT	
4	4738
5	4538
3	5058
3	3915
3	3355
4	3795
4	3107
4	3361
3	5484
3	4404
4	3452
3	4849
6	2240
6	4322
5	2790
2	6476
2	3284
2	3111
6	3543
6	3215
5	4674
2	2291
2	2260
2	3709
4	4821
5	5127
4	6946
3	4246
3	4248
4	2787
5	4839
4	4425
4	4232
3	4445
4	4457
5	4194
3	8513
2	3506
2	2979
6	2260
6	4497
5	3202
5	67
2	1871
2	2288
5	2743
6	2988
5	3212
4	6260
5	3570
0	0
3	5172
3	2952
4	3315
3	5444
2	6158
3	4322
4	4122
4	4377
4	5839
5	2345
4	5502
4	3320
2	3561
3	4147
3	5671
4	2624
5	3899
5	5815
3	2374
3	3131
5	2620
4	4929
4	3634
6	2021
6	4422
4	1909
4	6353
6	2154
6	1314
5	4903
3	3361
6	1837
5	2139
2	3371
2	2621
3	3213
6	3785
6	2794
6	2836
6	2434
5	4727
6	4499
3	4441
2	1987
2	3016
3	6986
3	3744
3	5572
5	3276
5	3377
5	3437
2	2846
2	2666
4	6249
5	3470
6	1811
6	1770
2	2460
2	4679
2	6878
5	6104
6	3557
6	4671
2	1716
2	2103
4	3921
5	4064
5	3803
6	1571
4	3157
4	2241
3	4219
4	3584
2	4228
2	4261
4	5761
4	2440
3	5504
5	5166
4	2963
4	6612
4	3200
3	4930
3	4579
5	2257
4	2792
5	3233
2	2061
2	2126
2	2335
6	3237
6	1682
6	1636
2	1872
2	1873
2	4177
6	2429
6	1987
6	3194
3	4549
3	4086
6	2785
3	3538
4	3601
4	2241
101B2FS19AE067006600000NT	
8	2476
8	2221
6	1715
8	1171
8	929
8	1058
3	3035
2	2445
4	1620
3	3003
4	3037
5	2981
3	3455
4	2503
2	996
2	7804
2	1576
2	1331
3	2139
3	2161
2	1479
3	1271
4	1210
5	942
4	5086
3	3012
7	409
4	1843
1	1562
4	2112
3	4018
2	1857
4	5351
2	2402
1	6455
2	993
2	2335
3	2657
4	3227
1	1417
7	1369
1	794
3	2321
3	4264
4	1190
1	3224
3	1858
7	2100
2	3530
4	68
3	1366
2	539
3	1402
4	1421
4	224
4	955
7	1537
6	1439
5	3663
4	1734
4	1123
5	1241
7	197
3	4065
3	2306
4	2400
3	2835
4	1454
3	2433
4	981
6	2234
4	802
8	1513
6	1483
3	1561
3	4444
4	1577
2	3659
1	1734
1	1672
4	1993
6	1446
3	4422
5	1746
1	2941
1	2458
3	2053
6	1861
6	2808
8	2480
4	1963
5	1873
6	2232
4	2390
4	3473
5	2470
8	1485
8	1633
7	3951
5	4249
4	4506
5	4117
7	3363
7	2092
8	1541
6	2459
2	2461
2	2328
4	3320
5	3525
7	2191
4	2309
4	1805
3	2427
4	2351
5	3538
4	5225
5	1790
5	5211
4	2193
4	3302
4	3871
6	2616
5	4609
4	6604
6	4070
4	1354
4	6582
6	3584
6	2182
5	6141
5	2477
7	3951
6	2253
6	2481
5	2710
6	3035
3	3766
1	2076
1	3457
4	4303
7	1872
6	5835
7	2713
4	1663
2	5600
4	4878
6	1587
7	3603
5	2324
4	2592
5	2636
6	3315
4	5219
7	2485
4	6070
103B2MN19AE000000002112NV	
1	3101
3	640
3	1067
3	8944
1	2387
1	1684
6	1422
3	1632
6	9051
3	1120
1	657
6	2068
6	1391
7	2453
3	3928
3	1757
7	1821
6	2814
3	2035
6	3183
6	862
3	1022
2	2779
6	1042
7	1658
1	2993
6	770
1	1255
1	5147
3	1655
1	4070
6	1203
3	3736
3	1098
3	1213
2	5355
6	1279
6	1156
6	1273
2	7464
3	1538
1	2024
7	2114
7	2418
3	1733
1	1035
1	4873
1	705
7	868
3	2570
6	1319
1	3983
6	5138
2	1624
7	1361
6	1150
7	6265
3	1208
3	1827
6	1344
3	2885
1	1247
7	1393
1	2039
7	1185
1	7433
7	1456
7	1676
7	834
7	1036
1	1427
6	1146
3	3086
3	1093
6	4373
6	1151
1	2622
3	1357
2	3480
1	6132
6	5870
7	1669
7	2634
6	1086
1	1416
3	1937
2	2706
6	1869
3	384
7	1252
6	4047
7	1239
7	931
6	2204
6	2243
6	1374
6	2013
3	796
2	4204
1	2113
1	3848
2	1658
7	3676
6	1834
2	8282
7	706
7	2246
2	960
2	2656
1	1417
2	1847
6	1986
0	0
2	2381
3	1652
7	3832
6	1110
6	2623
6	1929
7	1215
2	2512
1	3376
3	1124
7	2587
6	3322
6	1795
0	0
2	5325
6	4380
6	2651
2	1219
2	2770
7	1342
3	4044
6	2004
6	5349
3	2011
3	2143
1	2133
1	1896
3	4732
6	2127
7	5057
7	1643
4	3459
3	1987
6	1734
6	6285
2	883
7	891
6	2489
7	5889
6	4095
3	2456
2	4108
2	1966
104B2FS18AE097006500000NT	
6	6241
3	1949
3	2091
3	2382
5	2405
4	2925
2	2259
2	1902
2	1884
2	2149
2	2236
5	2913
6	1674
4	1929
6	2992
3	2095
4	3001
3	3570
6	2424
4	1502
6	1427
6	2390
6	2114
3	1947
4	1835
4	2227
5	2479
4	3305
2	2165
2	2447
4	3176
3	1691
3	2236
4	1424
4	3210
2	2615
5	2326
2	3934
6	1973
4	2533
3	2636
4	4441
4	2052
4	2997
5	2750
3	1969
4	1684
5	2701
4	2033
5	1685
5	3536
2	2409
4	2468
4	3789
2	2263
2	2666
3	2725
2	2013
2	2710
3	3144
6	2526
3	3331
3	1743
2	1379
2	1976
4	1236
4	2075
4	3788
3	1927
4	2587
2	2324
5	1123
2	3773
4	2929
5	2786
4	4887
6	2408
2	2012
3	2630
3	4356
5	4433
2	2239
3	2214
5	2713
1	8405
2	2120
1	1676
7	3192
7	2817
7	2737
4	3888
5	2227
7	4699
2	2588
1	1880
1	2694
7	3304
2	2542
7	4530
2	2298
2	1929
2	2777
4	3079
6	4300
7	4812
4	2172
2	1826
2	2299
2	1928
2	1989
6	6980
5	2301
4	2586
3	3127
1	2114
1	2665
1	2112
5	4648
7	3730
5	2383
5	3748
2	2677
6	3949
4	2444
2	3879
4	2334
2	2506
5	2537
4	3529
4	2311
5	2302
2	2362
4	2994
3	2642
4	4648
4	2228
4	2204
6	3688
2	3761
2	1576
1	2584
7	2249
7	2249
6	2363
2	2924
2	2270
3	2981
5	4634
2	170
2	2480
7	2184
3	4471
6	3454
3	2183
1	3245
2	2760
105B2MS18AS078008800000NT	
